300
NIKOSINA-PAKROJA 0:101
PAROGLE-RIONEGRO 100:101
KURZEME-RIONEGRO 100:101
UPESCIEMS-BATUMI 100:103
OGRESGALS-MAJAMI 100:105
MANHEIMA-SAIGONA 100:106
TAURAGNI-TEBRIZA 100:109
JAKUTIJA-FORMOZA 100:109
JAKUTIJA-SEVERNA 100:117
SEVERNA-OZOLAINE 100:120
OREGONA-KATOVICE 100:132
TEBRIZA-PLOVDIVA 100:134
PAKROJA-TAURAGNI 100:138
ROZALIMA-SERBIJA 100:143
KATOVICE-GAMBIJA 100:143
MAJORKA-UDMRTIJA 100:144
TAIVANA-OZOLAINE 100:149
SIDNEJA-LILONGVE 100:25
AUSTRIJA-ANGLIJA 100:28
PAKROJA-TENERIFE 100:3
ARTJOMA-MISISIPI 100:3
BAISOGALA-KIGALI 100:33
RANGUNA-KATOVICE 100:37
KOLGUJEVA-PANERI 100:39
HIROSIMA-RAVENNA 100:42
RUDAMINA-PASVALE 100:51
LEIPCIGA-DAMASKA 100:51
BRAZILJA-SAIGONA 100:56
UDMRTIJA-KORSIKA 100:6
GVINEJA-LILONGVE 100:60
KAPZEME-KRIEVIJA 100:60
KRIMULDA-KARTENA 100:61
UKRAINA-BRRONKSA 100:61
NEAPOLE-MELNSILS 100:69
BOSTONA-MANHEIMA 100:70
TAIZEME-UZBEKIJA 100:72
LILONGVE-PITRAGS 100:72
NUKUALOFA-SUHUMI 100:73
MILVOKI-LILONGVE 100:75
GVINEJA-IGNALINA 100:8
JAKUTIJA-BOMBEJA 100:82
RUDAMINA-BERGENA 100:84
SALONIKI-BOMBEJA 100:86
CEILONA-UDMRTIJA 100:87
LILONGVE-GRUZIJA 100:88
UDMRTIJA-TOMBUKA 100:96
DOMINIKA-KORSIKA 101:0
RUMBULA-ETIOPIJA 101:100
UPESCIEMS-VANAGI 101:100
TENERIFE-SALIENA 101:103
KENTUKIJA-RIMINI 101:106
HIROSIMA-RANGUNA 101:116
BOSTONA-GROZNIJA 101:117
KAIBALA-TUNISIJA 101:123
KORSIKA-PLOVDIVA 101:126
PLOVDIVA-LAPZEME 101:13
FRANCIJA-PENKULE 101:130
BRISELE-MAUNALOA 101:134
DAMASKA-ROZALIMA 101:139
TAHITI-GVATEMALA 101:141
KARTENA-KRIEVIJA 101:147
RAGACIEMS-SALATI 101:2
PEDEDZE-TENESIJA 101:22
KATOVICE-BRUNEJA 101:28
UPESCIEMS-KAMAJI 101:30
TAIZEME-IGNALINA 101:36
VIDUKLE-ADELAIDA 101:36
ORINOKO-UZBEKIJA 101:40
MORONI-KALNCIEMS 101:49
ROSTOKA-UZBEKIJA 101:55
UGUNSZEME-RODOPI 101:56
UZBEKIJA-HARBINA 101:60
KARLAILA-DAIVANA 101:61
JANDZI-MAZSALACA 101:62
GAMBIJA-FRANCIJA 101:65
HAVANNA-UZBEKIJA 101:66
CEILONA-GARKALNE 101:67
LEIPCIGA-GAMBIJA 101:74
SILMALA-ILINOISA 101:77
BOSTONA-KRIEVIJA 101:79
TAURAGNI-SAKSIJA 101:79
KRIMULDA-RUMBULA 101:82
SAKSIJA-MANHEIMA 101:83
JAKUTIJA-BOSTONA 101:83
GAIGALAVA-RIMINI 101:87
RAVENNA-DOMINIKA 101:87
HIROSIMA-NAHODKA 101:93
TENERIFE-VIDZEME 101:96
ANGLIJA-DOMINIKA 101:98
NEAPOLE-JAKUTIJA 101:98
DETROITA-SIESIKI 101:99
KARLAILA-GAMBIJA 102:10
DOMINIKA-BOSTONA 102:100
HIROSIMA-GDANSKA 102:101
ETIOPIJA-UKRAINA 102:104
ARMAVIRA-TALLINA 102:104
BRUKLINA-KAIBALA 102:107
KORSIKA-TAURAGNI 102:109
AMERIKA-KRIEVIJA 102:11
SILMALA-TELAVIVA 102:11
BALTIMORA-BATUMI 102:111
BROMLI-KALNCIEMS 102:117
NANKINA-BEREZINA 102:119
FRANCIJA-BOSTONA 102:120
SAULAINE-LONDONA 102:121
PIEVOLGA-OREGONA 102:123
KVEBEKA-AIZVOLGA 102:124
BAIREITA-LATGALE 102:127
FRANCIJA-ARKTIKA 102:129
KUDIMKARA-RESIFI 102:13
PENKULE-MAUNALOA 102:130
VILGALE-RIONEGRO 102:141
BEREZINA-TERMEZA 102:144
SAULAINE-KVEBEKA 102:149
VIETALVA-SERBIJA 102:22
LATGALE-JAKUTIJA 102:22
PRIENI-BALTEZERS 102:23
GVADELUPE-PANERI 102:27
MISISIPI-GVINEJA 102:30
BEREZINA-BOSTONA 102:35
CEILONA-BAIREITA 102:37
PORTSMUTA-ASALNI 102:4
LILONGVE-NIAMEJA 102:40
METELIS-ADELAIDA 102:44
BAIREITA-LAZDIJI 102:47
TOTNEMA-AIZVOLGA 102:49
GAMBIJA-TAURAGNI 102:5
KENTUKIJA-BIKINI 102:50
TELAVIVA-DAMASKA 102:51
JERSIKA-LILONGVE 102:6
ILINOISA-VERSEKA 102:60
VERSEKA-OZOLAINE 102:64
IGAUNIJA-BERGENA 102:71
AUSTRIJA-OREGONA 102:75
HIROSIMA-TURCIJA 102:8
SAULAINE-PASVALE 102:86
MENORKA-HIROSIMA 102:9
GARKALNE-JAMAIKA 102:94
AIZVOLGA-ARTJOMA 103:101
TENERIFE-KVEBEKA 103:107
BRAZILJA-KAMPALA 103:108
TENESI-USURIJSKA 103:113
CEILONA-DOMINIKA 103:12
DOMINIKA-MILVOKI 103:123
UZBEKIJA-ZEMGALE 103:126
LUISVILA-SEIRIJI 103:128
KARTENA-PLOVDIVA 103:132
UKRAINA-MAUNALOA 103:135
HIROSIMA-PAKROJA 103:138
VIETALVA-NANKINA 103:139
ROZALIMA-MUKDENA 103:142
BRATSKA-ETIOPIJA 103:142
LATGALE-KRIMULDA 103:15
ASALNI-CARNIKAVA 103:15
RUDAMINA-ULBROKA 103:2
VECRIKAVA-TENESI 103:21
SALINIEKI-SUDETI 103:21
GAIGALAVA-MORONI 103:23
ULBROKA-PIEVOLGA 103:26
RANGUNA-TENERIFE 103:31
ASUNSJONA-MAJAMI 103:32
HIROSIMA-HAVANNA 103:35
INDRAJI-TENESIJA 103:40
VERSEKA-DOMINIKA 103:43
OREGONA-IGNALINA 103:46
VIETALVA-KORSIKA 103:46
JAUNPILS-DAMASKA 103:51
OLBERI-KALNCIEMS 103:56
AIZVOLGA-LAZDIJI 103:58
FRANCIJA-PAROGLE 103:60
KAIBALA-MISISIPI 103:62
MAFEKINGA-SALATI 103:63
MELNSILS-KARTENA 103:65
UDMRTIJA-PITRAGS 103:65
SALIENA-LUISVILA 103:68
BEREZINA-PAKROJA 103:71
SAULAINE-VERDENA 103:77
DEMOINA-IGAUNIJA 103:78
TOTNEMA-IGNALINA 103:79
KOLGUJEVA-PRIENI 103:79
RAGACIEMS-BIKINI 103:80
NIAMEJA-BAHREINA 103:83
MARVELE-TELAVIVA 103:86
MALAIZIJA-MALAVI 103:88
DAMASKA-IGNALINA 103:90
HAUAIHE-PIEVOLGA 103:90
ARIZONA-ILINOISA 103:94
FRANCIJA-BRATSKA 103:97
DETROITA-ISIKULS 103:98
BOSTONA-AIZVOLGA 103:98
BAHREINA-KURZEME 104:1
ISIKULS-KRIEVIJA 104:10
LONDONA-NIKOSINA 104:105
ARMAVIRA-KAMBIJA 104:11
KAIBALA-KATOVICE 104:11
KRIMULDA-OBELIJA 104:110
HARBINA-ADELAIDA 104:113
USURIJSKA-PRIENI 104:119
RAVENNA-LUISVILA 104:12
TRIPOLE-AIZVOLGA 104:120
BENGAZI-BRRONKSA 104:128
MAJORKA-BRUKLINA 104:129
LUCERNA-TENESIJA 104:130
TEBRIZA-KRIMULDA 104:130
TAURAGNI-SAIGONA 104:131
HARTUMA-TENERIFE 104:134
ARMAVIRA-KAZBEKS 104:136
OBELIJA-ILINOISA 104:136
ILINOISA-MEKSIKA 104:136
ULBROKA-DETROITA 104:140
ILINOISA-RAVENNA 104:146
OZOLNIEKI-BATUMI 104:16
JAUNPILS-SEIRIJI 104:19
KAJENNA-BRRONKSA 104:2
PLOVDIVA-ROSTOKA 104:22
ROZALIMA-TEBRIZA 104:23
MAJORI-VECBILSKA 104:24
KRIEVIJA-FORMOZA 104:25
PLOVDIVA-PITRAGS 104:25
RAVENNA-ADELAIDA 104:27
IGNALINA-PALERMO 104:3
SEVILJA-ILINOISA 104:35
AIZVOLGA-NAHODKA 104:40
RIONEGRO-ARIZONA 104:42
NAHODKA-DOMINIKA 104:43
NEAPOLE-TENESIJA 104:44
HAVANNA-ETIOPIJA 104:48
PLOVDIVA-KAPZEME 104:48
TUNISIJA-RANGUNA 104:5
VATERLO-VIETALVA 104:50
MAZSALACA-RODOPI 104:51
PAROGLE-KARLAILA 104:6
TAURAGNI-DEMOINA 104:65
SAULAINE-HAIFONA 104:66
RIONEGRO-VIDZEME 104:69
TALLINA-RUDAMINA 104:7
UZBEKIJA-PASVALE 104:7
HIROSIMA-MEKSIKA 104:71
TEBRIZA-MANHEIMA 104:76
JAUNPILS-MARVELE 104:85
MISISIPI-METELIS 104:86
OZOLAINE-MILVOKI 104:88
JAUNPILS-DAIVANA 104:92
KURZEME-AIZVOLGA 104:97
SALONIKI-BRUNEJA 104:99
MANHEIMA-VILGALE 105:0
LUISVILA-HAVANNA 105:0
MILVOKI-TAURAGNI 105:10
ETIOPIJA-KANTONA 105:100
ABAKANA-RUDAMINA 105:101
BERGENA-PIEVOLGA 105:103
BEREZINA-TOMBUKA 105:104
PIEVOLGA-ALABAMA 105:106
NAHODKA-ARMAVIRA 105:107
ETIOPIJA-KVEBEKA 105:107
ADELAIDA-KAJENNA 105:111
ROZALIMA-ILMENIS 105:119
TAIZEME-AIZVOLGA 105:122
JAMAIKA-ILINOISA 105:123
LATGALE-ETIOPIJA 105:124
BROMLI-UPESCIEMS 105:127
VERDENA-BRRONKSA 105:133
MISISIPI-PALERMO 105:17
BRAZILJA-BOSTONA 105:18
KRIEVIJA-ALABAMA 105:29
NIKOSINA-HAUAIHE 105:37
BOMBEJA-TELAVIVA 105:39
ETIOPIJA-NAHODKA 105:4
KANTONA-PLOVDIVA 105:40
BOMBEJA-TENERIFE 105:42
OBELIJA-MISISIPI 105:44
KAMPALA-HIROSIMA 105:44
GVADELUPE-MALAVI 105:48
BEREZINA-RANGUNA 105:53
POLOCKA-DOMINIKA 105:64
ROZALIMA-KAPSUKA 105:7
TAIZEME-VIETALVA 105:70
KRIEVIJA-SIDNEJA 105:74
PIEVOLGA-SAKSIJA 105:75
TURCIJA-KRIMULDA 105:75
KAMPALA-RIONEGRO 105:8
VATERLO-RIONEGRO 105:82
LUISVILA-ARIZONA 105:87
JAMAIKA-UDMRTIJA 105:88
EZERNIEKI-MALAVI 105:88
JAUNPILS-ARKTIKA 105:9
METELIS-SALONIKI 105:91
NIKOSINA-SAIGONA 105:96
KAMAJI-SERPUHOVA 105:97
NIKOSINA-VERSEKA 105:97
BRATSKA-KARLAILA 106:103
LEIPCIGA-KAJENNA 106:11
MISISIPI-HARBINA 106:11
OZOLAINE-HARTUMA 106:114
PASIENA-TENESIJA 106:115
PERLOJA-KRIEVIJA 106:117
LUISVILA-LAZDIJI 106:119
GAMBIJA-TENESIJA 106:121
KAZBEKS-MELNSILS 106:125
BEREZINA-UKRAINA 106:126
PUIKULE-ADELAIDA 106:129
AUSTRIJA-PUIKULE 106:13
MAJORI-KOLGUJEVA 106:131
VIETALVA-SILMALA 106:139
GARKALNE-TERMEZA 106:139
TUNISIJA-PITRAGS 106:141
GRUZIJA-KATOVICE 106:142
MALAIZIJA-MORONI 106:149
RIONEGRO-HAUAIHE 106:15
FRANCIJA-LOZANNA 106:21
VIDZEME-ETIOPIJA 106:24
TUNISIJA-BRUNEJA 106:26
JAUNPILS-MAJORKA 106:32
KAIBALA-SAULAINE 106:39
TOTNEMA-TUNISIJA 106:41
SERBIJA-IGNALINA 106:42
HAUAIHE-OZOLAINE 106:55
NAHODKA-VIETALVA 106:65
FORMOZA-UZBEKIJA 106:65
SILMALA-JAUNPILS 106:69
SAULAINE-DURBANA 106:75
MORONI-PORTSMUTA 106:76
RUDAMINA-LATGALE 106:76
NAHODKA-BRUKLINA 106:79
MIROSLAVA-SALATI 106:80
JAKUTIJA-LONDONA 106:83
HUDZONA-TENESIJA 106:90
LEIPCIGA-TAIZEME 106:90
LEIPCIGA-ARKTIKA 106:92
BRATSKA-BAIREITA 106:95
VIETALVA-SEVILJA 106:98
KARLAILA-TOBRUKA 106:99
TERMEZA-ETIOPIJA 107:0
ARTJOMA-IGNALINA 107:102
MENORKA-ILINOISA 107:108
PEDEDZE-BAIREITA 107:109
JAUNPILS-TOTNEMA 107:11
LILONGVE-BRATSKA 107:110
FRANCIJA-SKOTIJA 107:112
VIETALVA-MIRNIJA 107:113
METELIS-NIKOSINA 107:116
HIROSIMA-ARTJOMA 107:122
TENESIJA-ZEMGALE 107:122
TENERIFE-KAJENNA 107:123
HAVANNA-MAUNALOA 107:128
TUNISIJA-SIESIKI 107:13
LONDONA-LEIPCIGA 107:130
SEVILJA-LILONGVE 107:130
BALTIJA-MANHEIMA 107:143
GORKIJA-LEIPCIGA 107:145
VANAGI-BALTEZERS 107:147
ETIOPIJA-GDANSKA 107:150
HAIFONA-KRIMULDA 107:150
MELNSILS-TERMEZA 107:16
ILMENIS-SAULAINE 107:17
BRAZILJA-LONDONA 107:21
NANKINA-ROZALIMA 107:23
LEIPCIGA-TURCIJA 107:29
GROZNIJA-MILVOKI 107:30
LATVIJA-MAUNALOA 107:31
ADELAIDA-LIVORNA 107:34
DOMINIKA-SEVERNA 107:38
AUSTRIJA-KAZBEKS 107:39
ETIOPIJA-OBELIJA 107:4
ASALNI-EZERNIEKI 107:41
TAURAGNI-HARBINA 107:43
BAHREINA-LIVORNA 107:44
PUIKULE-PLOVDIVA 107:46
PUIKULE-MANHEIMA 107:47
BAIREITA-ORINOKO 107:51
LUISVILA-MUKDENA 107:53
BALTIJA-HIROSIMA 107:53
ILINOISA-ILMENIS 107:56
TELAVIVA-SALIENA 107:56
HAUAIHE-BAIREITA 107:61
VIDAUJA-PLOVDIVA 107:62
KAJENNA-BRAZILJA 107:72
TOMBUKA-DOMINIKA 107:74
MILVOKI-TELAVIVA 107:77
BALTEZERS-RODOPI 107:81
DEMOINA-UZBEKIJA 107:90
TELAVIVA-KARTENA 107:91
AIZVOLGA-GRUZIJA 107:95
SUHUMI-SERPUHOVA 108:1
BRISELE-TENESIJA 108:10
BRUKLINA-VERSEKA 108:100
MELNSILS-SILMALA 108:103
SUDETI-ASUNSJONA 108:113
ABAKANA-IGAUNIJA 108:114
MANHEIMA-SIDNEJA 108:120
SAFOLKA-OZOLAINE 108:121
AIZVOLGA-NANKINA 108:122
BAHREINA-PENKULE 108:127
RIONEGRO-PITRAGS 108:128
DRUSTI-VAIOMINGA 108:129
BOSTONA-LEIPCIGA 108:13
RAVENNA-BRRONKSA 108:142
ARMAVIRA-VERDENA 108:15
KAJENNA-JAUNPILS 108:150
TENERIFE-JERSIKA 108:150
SALATI-VECBILSKA 108:150
HAVANNA-TAURAGNI 108:17
DOMINIKA-SIDNEJA 108:17
TENERIFE-OBELIJA 108:18
BERGENA-KRIEVIJA 108:18
ABADANA-SALONIKI 108:19
NIKOSINA-POCIEMS 108:20
BEREZINA-KAPZEME 108:22
JAUNPILS-RUMBULA 108:22
PIEVOLGA-NANKINA 108:30
AMERIKA-VIETALVA 108:31
MAUNALOA-ZEMGALE 108:31
KARLAILA-POCIEMS 108:34
ZEMGALE-MANHEIMA 108:35
HARBINA-BRAZILJA 108:36
TELAVIVA-KAZBEKS 108:39
MANHEIMA-MEKSIKA 108:45
HARTUMA-KRIMULDA 108:58
MAUNALOA-LOZANNA 108:59
FRANCIJA-SILMALA 108:60
LEIPCIGA-HUDZONA 108:64
METELIS-OZOLAINE 108:66
DOMINIKA-OREGONA 108:69
ROSTOKA-LUISVILA 108:71
FUDZIJAMA-TENESI 108:73
KARMELITI-JANDZI 108:73
SEVERNA-RIONEGRO 108:73
BAIREITA-PAKROJA 108:74
TELAVIVA-ISIKULS 108:76
SIESIKI-FRANCIJA 108:77
LUCERNA-JAKUTIJA 108:81
MAKENZI-KARLAILA 108:81
GROZNIJA-VERDENA 108:82
BIKINI-MONGOLIJA 108:82
GARKALNE-ZAMBIJA 108:86
AMERIKA-MANHEIMA 108:88
TJANDZINA-RESIFI 108:99
KUMBRI-PORTSMUTA 109:1
LEIPCIGA-BRUNEJA 109:107
TUNISIJA-DUBLINA 109:11
MARVELE-BRUKLINA 109:111
MANHEIMA-HARTUMA 109:112
HIROSIMA-VIDAUJA 109:113
DOMINIKA-TURCIJA 109:115
BALTIMORA-RESIFI 109:115
ARKTIKA-ADELAIDA 109:12
TOBRUKA-SAULAINE 109:12
BRAZILJA-GDANSKA 109:121
VIETALVA-TEBRIZA 109:122
TAURAGNI-LUCERNA 109:123
METELIS-FRANCIJA 109:124
KVEBEKA-MAUNALOA 109:125
KAIBALA-RIONEGRO 109:126
VIDZEME-UZBEKIJA 109:128
BRUKLINA-PALERMO 109:128
SAFOLKA-BRAZILJA 109:129
BAHREINA-INDRAJI 109:129
PLOVDIVA-GDANSKA 109:130
BEREZINA-LIVORNA 109:136
OZOLAINE-MUKDENA 109:141
GROZNIJA-RANGUNA 109:15
NANKINA-KATOVICE 109:16
MELNSILS-UKRAINA 109:17
SUHUMI-VAIOMINGA 109:19
NIKOSINA-ORINOKO 109:2
KUMBRI-KARMELITI 109:21
HAVANNA-BAHREINA 109:24
LATVIJA-DOMINIKA 109:24
MANHEIMA-NAHODKA 109:25
DEMOINA-AUSTRIJA 109:26
TOMBUKA-KARLAILA 109:27
JAKUTIJA-ABADANA 109:29
GARKALNE-VERSEKA 109:30
BRAZILJA-PASVALE 109:32
TALLINA-MAUNALOA 109:4
HIROSIMA-MILVOKI 109:42
KRIMULDA-BRATSKA 109:42
RIONEGRO-ORINOKO 109:53
GDANSKA-JAUNPILS 109:62
TURCIJA-UDMRTIJA 109:67
ADELAIDA-HUDZONA 109:7
PALERMO-ADELAIDA 109:76
KAJENNA-BAIREITA 109:84
BRUKLINA-ANGLIJA 109:87
PERLOJA-BRRONKSA 109:91
UZBEKIJA-LOZANNA 109:93
PEDEDZE-DOMINIKA 109:96
DOMINIKA-OBELIJA 11:10
JAUNPILS-BOSTONA 11:100
HIROSIMA-SKOTIJA 11:101
NAHODKA-IGNALINA 11:101
KARLAILA-NAHODKA 11:114
GAMBIJA-BRAZILJA 11:120
UZBEKIJA-ISIKULS 11:121
VERDENA-MANHEIMA 11:121
MANHEIMA-ZAMBIJA 11:122
DAMASKA-BRRONKSA 11:128
DETROITA-KAJENNA 11:129
MARVELE-BRAZILJA 11:132
MORONI-GVAJAKILA 11:137
PLOVDIVA-TOTNEMA 11:140
NEAPOLE-UDMRTIJA 11:141
TALLINA-NIKOSINA 11:142
SALONIKI-OREGONA 11:145
KAMBIJA-RUDAMINA 11:19
KURZEME-ILINOISA 11:20
AUSTRIJA-DURBANA 11:28
TAHITI-EZERNIEKI 11:40
BURTNIEKI-MAJAMI 11:42
PLOVDIVA-KAMBIJA 11:43
PENKULE-KRIEVIJA 11:44
TAURAGNI-KAZBEKS 11:49
VERSEKA-ADELAIDA 11:49
LATGALE-SAULAINE 11:56
HUDZONA-GROZNIJA 11:64
OLBERI-GVADELUPE 11:64
LUISVILA-ZAMBIJA 11:65
LILONGVE-ISIKULS 11:67
LUISVILA-MAKENZI 11:67
AIZVOLGA-ARKTIKA 11:69
SEIRIJI-PIEVOLGA 11:73
KUDIMKARA-RIMINI 11:74
PAKROJA-IGNALINA 11:8
BRUNEJA-BEREZINA 11:81
SEVERNA-KRIEVIJA 11:82
BRAZILJA-ORINOKO 11:86
BRUKLINA-LOZANNA 11:92
KRIMULDA-HARBINA 11:97
IGNALINA-INDRAJI 11:97
FRANCIJA-HUDZONA 11:98
UGUNSZEME-BATUMI 11:99
SUHUMI-GVADELUPE 110:1
GROZNIJA-MUKDENA 110:100
DAMASKA-ADELAIDA 110:107
PASVALE-PIEVOLGA 110:114
ADELAIDA-SEVERNA 110:115
AMERIKA-SALONIKI 110:118
MUKDENA-SALONIKI 110:122
PIEVOLGA-KORSIKA 110:122
ALABAMA-BEREZINA 110:127
JAKUTIJA-MIRNIJA 110:134
TUNISIJA-ORINOKO 110:141
SUDETI-VECBILSKA 110:143
PERLOJA-RIONEGRO 110:144
ILMENIS-MANHEIMA 110:20
BRUKLINA-LAPZEME 110:22
HAVANNA-VIETALVA 110:25
GROZNIJA-SALVANA 110:25
ZAMBEZI-BRAZILJA 110:3
JANDZI-RAGACIEMS 110:31
KARLAILA-ZAMBEZI 110:44
ALABAMA-GARKALNE 110:50
MONGOLIJA-KAMAJI 110:54
MISISIPI-OREGONA 110:56
OLBERI-UPESCIEMS 110:6
ILMENIS-TENERIFE 110:61
VATERLO-ILINOISA 110:61
UDMRTIJA-VIDZEME 110:64
PASVALE-IGNALINA 110:68
POLOCKA-FRANCIJA 110:68
MILVOKI-BRAZILJA 110:74
BATUMI-FUDZIJAMA 110:76
UGUNSZEME-RESIFI 110:90
LOZANNA-DOMINIKA 110:93
KRIMULDA-ARTJOMA 111:1
SAULAINE-BENGAZI 111:10
PIEVOLGA-SILMALA 111:100
DAMASKA-BAHREINA 111:106
