300
BANDARSERIBEGAVA-AIZKARPATI 89:123
BANDARSERIBEGAVA-SARAGOSA 0:69
BANDARSERIBEGAVA-SENTLORENSA 21:82
BANDARSERIBEGAVA-SIMFEROPOLE 94:128
SIRDARJA-BANDARSERIBEGAVA 106:73
SKAGERAKS-BANDARSERIBEGAVA 113:3
BANDARSERIBEGAVA-SKIEMONE 13:41
STARAPLANINA-BANDARSERIBEGAVA 107:8
SUMATRA-BANDARSERIBEGAVA 25:24
TAGANROGA-BANDARSERIBEGAVA 83:43
TAIMIRA-BANDARSERIBEGAVA 81:54
TAMMERFORSA-BANDARSERIBEGAVA 11:1
TAMPERE-BANDARSERIBEGAVA 83:0
BANDARSERIBEGAVA-TAURUPE 43:63
TERNOPOLE-BANDARSERIBEGAVA 117:104
BANDARSERIBEGAVA-TIRASPOLE 51:84
TOSMARE-BANDARSERIBEGAVA 73:62
BANDARSERIBEGAVA-VAIVARI 18:125
BANDARSERIBEGAVA-VALPARAISO 48:126
VARDURA-BANDARSERIBEGAVA 22:3
VENTSPILS-BANDARSERIBEGAVA 142:45
VESTLOTJANA-BANDARSERIBEGAVA 97:57
BANDARSERIBEGAVA-VIKTORIJA 30:100
MAIKOPA-KEMEROVA 0:10
DINKERSA-DORSETA 102:0
KUTAISI-AMUDARJA 0:103
RINGUVA-EKVADORA 0:106
LUCAVSALA-OLIMPS 0:108
ATABASKA-POLTAVA 109:0
LAUKUVA-HOLIVUDA 0:109
KRUSTPILS-KAMPIS 11:0
ANGARSKA-KARPATI 111:0
KUVEITA-KRAKATAU 114:0
JAKUTSKA-LAUDERI 0:116
BALATONS-KUPRAVA 116:0
MALJORKA-BENDERI 0:119
ANGARSKA-DEMBAVA 119:0
BOSFORS-BORNMUTA 120:0
KUNCEVA-USUMBURA 0:120
VAIDAVA-KEMEROVA 0:121
TAUNUSA-VECSAULE 121:0
GLAZGOVA-VALLETA 121:0
VAIDAVA-SKIEMONE 0:122
AMUDARJA-VALLETA 124:0
DINKERSA-KATVARI 0:124
KAVARSKA-LAUDERI 0:125
OSTRAVA-EKVADORA 0:131
RUSTAVI-DINKERSA 0:139
EKVADORA-VAIGUVA 141:0
SANHOSE-MINESOTA 0:143
DINKERSA-BEIRUTA 145:0
MERGUPE-JURBARKA 146:0
HOLIVUDA-MOLDOVA 146:0
LAPLATA-OKSFORDA 0:147
DENVERA-OKSFORDA 147:0
RIETAVA-DINKERSA 0:148
MENHETENA-ATLASS 0:149
KANGARI-ATABASKA 15:0
NEBRASKA-SASNAVA 150:0
MALJORKA-RIETAVA 150:0
TAIMIRA-SARANSKA 16:0
ELTONS-ZVIEDRIJA 0:16
SOVETSKA-VAIDAVA 17:0
HOPJORA-VECSAULE 17:0
VARDURA-INSBURGA 18:0
SOVETSKA-TEKSASA 0:19
KANBERA-RIODEORO 0:20
REINJORA-BENDERI 23:0
KUVEITA-HOLIVUDA 25:0
KAHOVSKA-LAUKUVA 25:0
SOMERSETA-OLIMPS 0:26
ATABASKA-BEIRUTA 27:0
ARARATS-BALATONS 0:29
KRAKOVA-KAVARSKA 0:3
DINKERSA-MAIKOPA 0:30
MALJORKA-MALNAVA 31:0
KUTAISI-SINTAUTI 36:0
KALKUTA-VAGADUGU 36:0
KAUNATA-PIEDRUJA 36:0
RINGUVA-PALEMONA 0:39
VADAKSTE-DENVERA 0:39
IZMAIRA-GABORONE 0:4
VINDHUKA-MELNUPE 0:40
KANNAS-PARAGVAJA 42:0
TEKSASA-PALEMONA 0:45
VAIVARI-INSBRUKA 46:0
TRIESTE-MALJORKA 0:50
GABORONE-VAIVARI 54:0
GABORONE-LIELUPE 55:0
KRAKOVA-BELFASTA 0:58
KAVARSKA-KUZBASS 58:0
KUTAISI-SKIEMONE 0:6
VINDHUKA-KANBERA 0:60
SINTAUTI-KARPATI 0:63
DENKERKA-KUMPOTE 67:0
KUVEITA-LISABONA 0:67
DINKERSA-SALANTA 67:0
SAMAVS-LUCAVSALA 69:0
DELTUVA-KZILORDA 0:69
JAKUTSKA-RINGUVA 73:0
KANDAVA-ANGARSKA 0:73
OKINAVA-SINTAUTI 0:76
BENDERI-JAKUTSKA 76:0
IRKUTSKA-KALKUTA 76:0
TOLJATI-SARANSKA 0:79
TAUNUSA-RIODEORO 0:79
INSBRUKA-KATVARI 0:81
DINKERSA-BIZERTA 81:0
BALATONS-KUVEITA 84:0
LINKUVA-INSBURGA 0:85
OLIMPS-ORENBURGA 85:0
ROSTOVA-SARANSKA 0:87
AVINJONA-PEIPUSS 87:0
VEZUVS-VENTSPILS 0:87
MADRASA-SKIEMONE 0:88
KINROSA-ANGARSKA 88:0
LUGANSKA-KUPRAVA 88:0
VAIVARI-ANGARSKA 90:0
HAMBURGA-KARPATI 90:0
TAURUPE-JURBARKA 94:0
GABORONE-HOPJORA 96:0
ZLATOUSA-ATLANTA 0:97
VECSAULE-MIASURA 1:100
STAMBULA-DENVERA 1:101
HONDURASA-LIZUMS 104:1
IRKUTSKA-ANADIRA 1:106
VALLETA-SOVETSKA 1:108
MELARS-PRETORIJA 1:108
PIEDRUJA-HARKOVA 108:1
VECSAULE-ENGELSA 1:11
PANEMUNE-SUMATRA 1:110
VADAKSTE-DELTUVA 110:1
CIECERE-REINJORA 1:111
PRIEKULE-MAIKOPA 1:113
VALLETA-RIODEORO 1:114
KARAKUMS-DONBASS 1:117
MANAGVA-PRIEKULE 1:122
PRIEKULE-TOLJATI 1:122
TRIESTE-GABORONE 1:124
EVERESTS-HOPJORA 1:127
KONAKRI-SARAGOSA 1:127
JAKUTSKA-POLTAVA 128:1
INSBRUKA-VORKUTA 1:129
BELFASTA-DUBULTI 13:1
NUKUSU-FLANDRIJA 1:132
HAMBURGA-BIZERTA 132:1
POLTAVA-DENKERKA 1:133
SINTAUTI-ATLANTA 1:133
MALJORKA-MEMFISA 133:1
IRKUTSKA-KUVEITA 136:1
RUSTAVI-ESENTUKI 1:14
ANGARSKA-BIZERTA 142:1
LAUKUVA-RIODEORO 1:143
DEMBAVA-USUMBURA 1:144
BARNAULA-LAUKUVA 145:1
MAPUTU-BELOSTOKA 1:146
LECKAVA-ALEKSOTA 1:146
SAMAVS-KOSTARIKA 1:146
LAUKUVA-MINESOTA 1:147
OLSTERA-LUGANSKA 147:1
TBILISI-DINKERSA 1:16
LIETUVA-RAISKUMS 1:17
PRIPETE-VECSAULE 17:1
RINGUVA-VADAKSTE 1:21
KARAKUMS-MADRASA 1:23
HOLIVUDA-LECKAVA 27:1
PORTOVANA-SALDUS 1:28
KIROVSKA-KUZBASS 28:1
HARKOVA-SKIEMONE 1:31
NIAGARA-BRJANSKA 31:1
AVINJONA-JELGAVA 33:1
AVINJONA-MADEIRA 33:1
KULAUTUVA-ELTONS 1:36
KATVARI-BALATONS 1:37
NOVGORODA-VENERS 40:1
VALLETA-MELBURNA 1:40
MACESTA-ALAUKSTS 1:40
TAURUPE-KAVARSKA 45:1
DENKERKA-NIAGARA 1:45
SANPAULU-MACESTA 1:47
KRAKATAU-TRIESTE 51:1
ATABASKA-TOLJATI 54:1
UTREHTA-PRIEKULE 54:1
ELTONS-FEODOSIJA 54:1
IRKUTSKA-MADRASA 1:54
MAPUTU-PITSBURGA 55:1
SANHOSE-GLAZGOVA 1:56
SOVETSKA-MOLDOVA 57:1
RINGUVA-INSBRUKA 1:61
NEBRASKA-MANAGVA 61:1
SARAGOSA-KUZBASS 61:1
LAUKUVA-STAMBULA 1:62
HOPJORA-DINKERSA 63:1
MELARS-MORICSALA 64:1
NEBRASKA-VAIDAVA 66:1
EIFRATA-GLAZGOVA 1:67
DENKERKA-BOSFORS 68:1
VINDHUKA-DENVERA 1:68
MENHETENA-ELTONS 1:68
VORKUTA-LUGANSKA 1:69
BIZERTA-AVINJONA 1:70
PEREKOPS-LAUTERE 71:1
MAPUTU-PORTORIKO 1:71
MELBURNA-MANAUSA 71:1
SARANSKA-MASKAVA 72:1
LINKUVA-BARNAULA 1:75
TRIESTE-SANPAULU 76:1
KAHOVSKA-KUPRAVA 79:1
MALJORKA-DORSETA 8:1
PANEMUNE-RIETAVA 8:1
KULAUTUVA-PELTES 1:80
INSBURGA-OSTRAVA 81:1
ELBRUSS-SOVETSKA 1:84
PALEMONA-ANADIRA 84:1
PANEMUNE-KORDOVA 85:1
MINESOTA-MEMFISA 86:1
ELBRUSS-SIESARTE 1:86
VAINUTA-LABANOVA 1:87
AVINJONA-TRIESTE 89:1
VADAKSTE-VAIVARI 1:90
KOVROVA-AVINJONA 1:93
KATVARI-MELBURNA 94:1
MIASURA-GABORONE 1:95
HONIARA-KARAKUMS 96:1
TAURUPE-EVERESTS 96:1
KAHOVSKA-TAIMIRA 1:98
SKAUDVILE-ELTONS 1:98
RIODEORO-TAMPERE 102:10
PORTOVANA-ATLASS 10:107
MINESOTA-KARPATI 108:10
ESENTUKI-KUZBASS 10:109
BARTUVA-KARAKUMS 10:11
VINDHUKA-SASNAVA 111:10
SKIEMONE-KARPATI 114:10
MACESTA-SIESARTE 10:115
OKSFORDA-TAUNUSA 116:10
ALTAJS-MANHATANA 117:10
BALATONS-PEIPUSS 119:10
PAMIRS-SENTLUISA 119:10
LIETUVA-PRIEKULE 10:119
VAIGUVA-LISABONA 10:121
ZALCBURGA-OLIMPS 10:126
BARNAULA-MANAGVA 126:10
RIETAVA-IRKUTSKA 10:127
JURBARKA-SUMATRA 10:128
DENKERKA-RIETAVA 13:10
BEIRUTA-KAHOVSKA 10:13
TAIMIRA-ANGARSKA 130:10
ALATAU-DORTMUNDE 130:10
BEIRUTA-ANGARSKA 10:131
PALEMONA-POLTAVA 134:10
LINKUVA-SIRDARJA 10:14
DEMBAVA-MELBURNA 10:140
SOVETSKA-KUZBASS 143:10
VADAKSTE-MADEIRA 10:145
LIELUPE-JAKUTSKA 150:10
TAMBOVA-MALJORKA 10:150
LAUTERE-BELFASTA 16:10
LUGANSKA-DELTUVA 18:10
ATLASS-FOLKSTONA 20:10
PALEMONA-LAPLATA 23:10
BRAZAVILA-INESIS 10:24
MALJORKA-KUPRAVA 26:10
HONOLULU-BEIRUTA 10:26
KIROVSKA-KANZASA 10:29
TAURUPE-REINJORA 10:31
BARTUVA-GABORONE 10:32
ALAUKSTS-KAUNATA 36:10
ATABASKA-ANADIRA 10:40
LECKAVA-SOVETSKA 10:40
VAGADUGU-KARPATI 10:40
MASTIS-LIBREVILA 42:10
VALLETA-ALAUKSTS 10:43
KAHOVSKA-OSTRAVA 43:10
BEBRUSI-KARAKUMS 46:10
SARAGOSA-BIZERTA 46:10
KANDAVA-SKIEMONE 10:46
VECSAULE-KRAKOVA 48:10
DEMBAVA-KZILORDA 10:48
CIECERE-RIODEORO 10:49
HOLIVUDA-SUMATRA 10:50
KAUNATA-AMUDARJA 10:51
KOVROVA-OKSFORDA 10:51
ZVIEDRIJA-SEVANS 55:10
KANZASA-ESENTUKI 60:10
SUMATRA-SANPAULU 63:10
ZVIEDRIJA-INESIS 63:10
SOMERSETA-ELTONS 10:65
MEMFISA-VADAKSTE 65:10
KORDOVA-EKVADORA 10:67
MINESOTA-MELNUPE 68:10
KANGARI-ALAUKSTS 70:10
HAMBURGA-ARARATS 72:10
RIODEORO-SUMATRA 73:10
INSBRUKA-KANDAVA 74:10
HAMBURGA-VAIDAVA 77:10
BEBRUSI-BORNMUTA 78:10
PEIPUSS-KAHOVSKA 10:78
ALATAU-SKAGERAKS 10:81
PANEMUNE-MIASURA 10:83
ZLATOUSA-TOSMARE 10:85
BORNMUTA-KRAKOVA 85:10
KORDOVA-ALEKSOTA 10:88
KATVARI-GABORONE 10:91
TERNOPOLE-INESIS 92:10
HONIARA-STAMBULA 93:10
MIASURA-ZLATOUSA 93:10
VAIVARI-ATABASKA 99:10
AIZPUTE-SIRDARJA 10:99
PANEMUNE-OKINAVA 99:10
MASTIS-REDRIVERA 99:10
PLIMUTA-KAVARSKA 100:104
KRAKATAU-BEBRUSI 100:104
SKAUDVILE-ALATAU 100:105
SUMATRA-SARAGOSA 100:105
EKVADORA-KATVARI 105:100
SEVANS-ORENBURGA 106:100
LINKUVA-JURBARKA 100:106
TAUNUSA-VADAKSTE 108:100
BRJANSKA-LECKAVA 109:100
TBILISI-SANPAULU 110:100
TARENTO-KAHOVSKA 100:111
BELFASTA-ANADIRA 100:111
ZLATOUSA-HONIARA 100:113
BRJANSKA-KUTAISI 100:114
TEKSASA-DINKERSA 100:116
HAMILTONA-TUKUMS 100:116
LIETUVA-SIESARTE 100:116
RIETAVA-SKIEMONE 100:117
ATLANTA-OKSFORDA 100:118
REINJORA-LAUDERI 121:100
ANADIRA-MALJORKA 122:100
RAISKUMS-IZMAIRA 100:125
LAUKUVA-AMUDARJA 100:128
HONIARA-BRJANSKA 129:100
TAMPERE-SIESARTE 132:100
RINGUVA-MINESOTA 100:141
TEKSASA-KZILORDA 100:142
KALVARIJA-NUKUSU 147:100
PRIPETE-EKVADORA 100:150
PALEMONA-CIECERE 102:101
KARAKUMS-KUVEITA 101:103
PRETORIJA-ALTAJS 104:101
VORKUTA-STAMBULA 105:101
KARAKUMS-MANAUSA 101:107
IVANOVA-EVERESTS 101:107
DINKERSA-MIASURA 101:108
BELOSTOKA-LIZUMS 101:108
SINSITIJA-LIZUMS 101:108
REINJORA-TOLJATI 110:101
JELGAVA-HONOLULU 101:113
SOVETSKA-BIZERTA 115:101
KARPATI-PEREKOPS 101:115
ELBRUSS-GLAZGOVA 101:116
FLANDRIJA-MELARS 122:101
SALANTA-LISABONA 101:125
HANNOVERE-PAMIRS 101:127
GALGAUSKA-NUKUSU 101:129
LUCAVSALA-VENERS 101:130
SALASPILS-SEVANS 132:101
KANDAVA-PRIEKULE 101:132
LAUDERI-SIRDARJA 133:101
OLSTERA-ALEKSOTA 101:133
SASEKSA-STAMBULA 133:101
KANGARI-PEREKOPS 101:134
SINTAUTI-LAUDERI 101:134
MASKAVA-AVINJONA 101:135
HAMBURGA-MACESTA 140:101
ALEKSOTA-KARPATI 140:101
ALTAJS-ZVIEDRIJA 101:140
ENGELSA-KARAKUMS 142:101
VAIDAVA-LUGANSKA 101:142
MADEIRA-ATABASKA 103:102
GLAZGOVA-IZMAIRA 103:102
NOVGORODA-INESIS 106:102
MERGUPE-BELFASTA 106:102
DORSETA-KRAKATAU 107:102
EKVADORA-POLTAVA 107:102
KUPRAVA-ZLATOUSA 102:107
DUBULTI-SOVETSKA 102:109
MERGUPE-GABORONE 102:111
KUVEITA-SARANSKA 102:113
BELFASTA-KUPRAVA 113:102
SANHOSE-IRKUTSKA 115:102
SALDUS-KULAUTUVA 116:102
LISABONA-TOLJATI 121:102
KUMPOTE-VINDHUKA 121:102
SINTAUTI-KINROSA 102:121
TOSMARE-PANEMUNE 123:102
MELBURNA-BEIRUTA 124:102
SIESARTE-DENVERA 102:127
KALABRIJA-INESIS 128:102
MELBURNA-KALKUTA 128:102
MANAUSA-AVINJONA 102:129
KARAKUMS-LAUKUVA 133:102
MONROVIJA-LIZUMS 102:133
ZLATOUSA-DELTUVA 133:102
RAISKUMS-MERGUPE 102:134
KINGSTONA-ELTONS 102:134
MIASURA-SINTAUTI 135:102
KALKUTA-JURBARKA 102:139
MINESOTA-VAIGUVA 141:102
ATABASKA-MOLDOVA 141:102
GABORONE-GURJEVA 145:102
DINKERSA-KOVROVA 145:102
TBILISI-ALEKSOTA 102:146
LISABONA-VAINUTA 147:102
KAUNATA-DENKERKA 102:148
ENGELSA-SOVETSKA 148:102
LAUTERE-ALAUKSTS 149:102
BEIRUTA-KZILORDA 102:150
TOSMARE-EVERESTS 104:103
HONOLULU-PLIMUTA 103:105
MALJORKA-MACESTA 106:103
OKINAVA-BORNMUTA 103:110
ATABASKA-LIELUPE 103:111
BORNMUTA-HOPJORA 103:114
VAGADUGU-MERGUPE 103:116
SARAGOSA-MAIKOPA 119:103
BEBRUSI-MELBURNA 103:120
KRUSTPILS-LIZUMS 120:103
KEMEROVA-MADEIRA 122:103
KARPATI-BARNAULA 124:103
SANPAULU-VALLETA 103:126
ATLASS-TAGANROGA 103:126
VAIGUVA-RAISKUMS 103:127
LUGANSKA-MOLDOVA 130:103
REDRIVERA-KAMPIS 103:131
ELTONS-GALGAUSKA 135:103
KINGSTONA-KANNAS 103:135
INSBURGA-AIZPUTE 136:103
TOSMARE-AMUDARJA 142:103
OLIMPS-TAGANROGA 103:143
NEBRASKA-OKINAVA 145:103
KARAKUMS-KUZBASS 103:145
SOVETSKA-VAIGUVA 146:103
PIEDRUJA-TAURUPE 103:148
BELOSTOKA-ALTAJS 103:150
SOVETSKA-TAMBOVA 150:103
MANAUSA-ATABASKA 150:103
MANAGVA-PEREKOPS 104:105
IZMAIRA-ALEKSOTA 104:106
RAISKUMS-KATVARI 104:106
AVINJONA-LECKAVA 109:104
USUMBURA-KAUNATA 104:111
ELTONS-HANNOVERE 115:104
ALEKSOTA-VALLETA 116:104
HOLIVUDA-PEIPUSS 104:119
SIRDARJA-VAIGUVA 119:104
GURJEVA-RIODEORO 104:121
SIRDARJA-MADEIRA 104:124
SASEKSA-BALATONS 104:124
SANPAULU-PEIPUSS 104:127
TUKUMS-NOVGORODA 104:128
AUGSBURGA-INESIS 104:128
PRIEKULE-KUPRAVA 131:104
MONROVIJA-ALATAU 104:131
GABORONE-SALANTA 132:104
INSBRUKA-KUPRAVA 133:104
MINESOTA-SASEKSA 133:104
SEVANS-TAGANROGA 104:134
LIZUMS-VENTSPILS 104:135
KATVARI-BARNAULA 135:104
LABANOVA-KUPRAVA 136:104
LINKUVA-DENKERKA 104:137
VAINUTA-ANGARSKA 104:144
MEMFISA-ANGARSKA 146:104
KANNAS-TIRASPOLE 104:146
TEKSASA-EKVADORA 104:146
AMUDARJA-DORSETA 148:104
BALATONS-BIZERTA 109:105
SAMAVS-KULAUTUVA 110:105
OSTRAVA-EVERESTS 105:112
SARAGOSA-PLIMUTA 112:105
HONOLULU-TRIESTE 105:116
LISABONA-DONBASS 117:105
PANEMUNE-VAIVARI 105:117
TAUNUSA-VAGADUGU 119:105
KALVARIJA-ATLASS 119:105
INESIS-SKAUDVILE 121:105
EVERESTS-TAIMIRA 105:121
EIFRATA-KZILORDA 105:124
MINESOTA-TAMBOVA 125:105
SIRDARJA-KANBERA 105:126
DENKERKA-TAIMIRA 105:127
MIASURA-SIRDARJA 129:105
IZMAIRA-STAMBULA 129:105
SARANSKA-EIFRATA 132:105
SKIEMONE-KUVEITA 132:105
UTREHTA-SIESARTE 105:132
IZMAIRA-ALAUKSTS 136:105
BALATONS-ATLANTA 136:105
SINTAUTI-VALLETA 105:137
KANZASA-KRAKATAU 140:105
BRJANSKA-LAUDERI 105:140
DINKERSA-IVANOVA 141:105
KANGARI-MINESOTA 105:145
KAVARSKA-JELGAVA 147:105
AMUDARJA-VAIGUVA 150:105
HAMBURGA-BEIRUTA 107:106
PEIPUSS-GABORONE 106:107
KANZASA-VECSAULE 110:106
LECKAVA-SIRDARJA 106:114
KEMEROVA-BARTUVA 116:106
TAMPERE-AMUDARJA 120:106
OKINAVA-HAMBURGA 106:123
BARTUVA-JAKUTSKA 106:126
MANAUSA-SIESARTE 106:127
USUMBURA-MANAUSA 106:128
MOLDOVA-BARNAULA 106:131
KIROVSKA-DELTUVA 133:106
NIAGARA-SARANSKA 133:106
VINDHUKA-ERFURTE 106:136
AVINJONA-BARTUVA 137:106
VAGADUGU-DUBULTI 106:139
IVANOVA-AMUDARJA 106:140
INESIS-SINSITIJA 143:106
PIEDRUJA-DONBASS 106:143
RAISKUMS-KORDOVA 145:106
RINGUVA-RIODEORO 106:146
UTREHTA-ATABASKA 106:148
KAVARSKA-TAIMIRA 106:150
HOLIVUDA-KUZBASS 106:150
ATLASS-VERAKRUSA 107:108
KIROVSKA-KUMPOTE 109:107
PIEDRUJA-MEMFISA 107:118
VALENSIJA-SAMAVS 107:118
MAIKOPA-REINJORA 107:118
RUSTAVI-PANEMUNE 107:119
BELFASTA-MACESTA 119:107
VINDHUKA-OLSTERA 107:121
SKIEMONE-TRIESTE 125:107
HAMBURGA-TAUNUSA 129:107
MIASURA-LUGANSKA 130:107
NIAGARA-OKSFORDA 133:107
KAHOVSKA-OKINAVA 135:107
ROSTOVA-SOVETSKA 107:136
KINROSA-GABORONE 107:136
RIODEORO-PLIMUTA 137:107
KORDOVA-KAHOVSKA 107:138
EKVADORA-BEIRUTA 139:107
ATLASS-KRUSTPILS 107:141
HAMBURGA-POLTAVA 141:107
ARARATS-BORNMUTA 144:107
HOLIVUDA-MEMFISA 107:144
TAGANROGA-INESIS 147:107
REINJORA-ATLANTA 148:107
KRAKOVA-LABANOVA 107:149
PRIPETE-VAGADUGU 109:108
ERFURTE-NEBRASKA 108:111
JAKUTSKA-KONAKRI 108:112
INESIS-LUCAVSALA 115:108
KONAKRI-KRAKATAU 116:108
PALEMONA-RUSTAVI 116:108
JELGAVA-EVERESTS 108:116
TAUNUSA-PANEMUNE 116:108
POLTAVA-INSBRUKA 108:116
OKSFORDA-LINKUVA 118:108
VARDURA-SOVETSKA 118:108
KAVARSKA-HARKOVA 121:108
SEVANS-KALABRIJA 108:123
TAUNUSA-ESENTUKI 133:108
KRAKATAU-SASEKSA 108:137
LAUKUVA-AVINJONA 108:141
PALEMONA-ERFURTE 142:108
IRKUTSKA-KUNCEVA 144:108
DAUGAVA-SIESARTE 108:145
ATLASS-ZVIEDRIJA 108:146
MINESOTA-IZMAIRA 146:108
EVERESTS-SASNAVA 150:108
DORSETA-KEMEROVA 109:110
ANADIRA-SINTAUTI 112:109
TORONTO-PIEDRUJA 114:109
JURBARKA-BIZERTA 116:109
GABORONE-DENVERA 116:109
MELBURNA-KANGARI 109:116
TAIMIRA-STAMBULA 117:109
SENTLUISA-TUKUMS 109:118
SANPAULU-KOVROVA 118:109
ALAUKSTS-TORONTO 120:109
ALAUKSTS-BOSFORS 109:121
SANPAULU-TARENTO 109:122
LUGANSKA-IVANOVA 124:109
VAGADUGU-MEMFISA 109:127
DORTMUNDE-ELTONS 109:128
JURBARKA-VAIGUVA 129:109
SKAGERAKS-KAMPIS 132:109
IRKUTSKA-MIASURA 109:134
DORSETA-ATABASKA 109:135
GABORONE-MALNAVA 136:109
AVINJONA-LAPLATA 139:109
KAVARSKA-MEMFISA 109:139
TAIMIRA-INSBURGA 141:109
TBILISI-PALEMONA 109:143
SASEKSA-PEREKOPS 109:146
SINTAUTI-HOPJORA 109:146
BORNMUTA-DEMBAVA 146:109
SARANSKA-VORKUTA 148:109
KALVARIJA-PAMIRS 149:109
ALEKSOTA-BENDERI 150:109
PALEMONA-MERGUPE 150:109
AUGSBURGA-LIZUMS 11:101
SINTAUTI-VARDURA 11:102
KANDAVA-AMUDARJA 11:103
KANZASA-OKSFORDA 11:105
RIETAVA-KZILORDA 11:107
BARNAULA-EIFRATA 11:107
KUMPOTE-ESENTUKI 108:11
RAISKUMS-LIELUPE 11:110
LISABONA-ANADIRA 110:11
MELNUPE-KRAKATAU 113:11
ORENBURGA-ELTONS 11:115
ATLANTA-MINESOTA 11:117
AVINJONA-BENDERI 118:11
HONDURASA-SAMAVS 118:11
FLANDRIJA-ATLASS 119:11
BEIRUTA-GLAZGOVA 11:119
