300
MELNUPE-KAZDANGA 100:122
TOSMARE-JURBARKA 122:100
BAMAKO-PORTORIKO 124:100
MINDANAO-LIVORNA 100:124
SIESARTE-MERGUPE 100:131
KANGARI-EKVADORA 100:132
INSBURGA-NANKINA 100:133
MANITOBA-MEISENE 100:133
KATMANDU-USTRONE 134:100
PLATONE-SIESARTE 136:100
SAMAVS-KUSTANAJA 100:138
RANGUNA-MALJORKA 138:100
BABRUNGA-SEVERNA 100:138
LITLROKA-BENGAZI 100:138
UGUNSZEME-SAPORO 144:100
GLAZGOVA-BOSTONA 100:144
BANGKOKA-VAIVARI 144:100
BRISTOLE-TAIZEME 100:145
LOTRINGA-PASIENA 100:146
AMUDARJA-PLATONE 100:150
KAMPIS-VERAKRUSA 101:102
VESTENDE-VERDENA 101:102
TAIVANA-OKSFORDA 102:101
KORNVOLA-SAIGONA 101:105
RIODEORO-DUBLINA 101:106
LOTRINGA-USTRONE 101:110
KANGARI-BRAITONA 101:110
PRETORIJA-KANNAS 110:101
ATLASS-KUSTANAJA 101:110
VESTENDE-TAIMIRA 112:101
KEMEROVA-DENVERA 113:101
JITLANDE-VAIVARI 114:101
GARONNA-NIKOPOLE 115:101
RADOPOLE-TAMPERE 116:101
SIESARTE-USTRONE 101:116
LISABONA-PUMPENI 101:117
LIELUPE-MELBURNA 118:101
LIELUPE-BALATONS 101:118
MIASURA-MELBURNA 120:101
VESTENDE-LONDONA 101:121
ARAGONA-SIESARTE 124:101
SEVERNA-RIODEORO 125:101
SIESARTE-LIVORNA 101:126
VENTSPILS-SAMAVS 131:101
SARAGOSA-SUMATRA 132:101
OKLAHOMA-RAUDONE 101:133
VETERNS-KEMEROVA 134:101
PELTES-NOVGORODA 101:136
MELBURNA-TAURUPE 101:138
LOKARNA-BANGKOKA 139:101
VENTSPILS-KANNAS 139:101
USTRONE-DENKERKA 141:101
OKSFORDA-OGLAINE 101:142
PASIENA-KATMANDU 144:101
INESIS-BALTEZERS 101:145
PORTORIKO-KANNAS 145:101
JANOPOLE-DENVERA 146:101
SALIENA-SKIEMONE 146:101
PRETORIJA-BAMAKO 101:149
