299
SALVANA-TENESIJA 0:102
OREGONA-LEIPCIGA 1:75
SALIENA-ROZALIMA 1:76
HAVANNA-GROZNIJA 1:76
TOTNEMA-ETIOPIJA 1:78
METELIS-RUDAMINA 1:79
JITLANDE-ZEMGALE 1:80
KORSIKA-SALONIKI 1:85
POCIEMS-ROZALIMA 1:85
PILTENE-KRIEVIJA 1:87
GULBENE-GARKALNE 1:89
SIDNEJA-TELAVIVA 1:91
TAIZEME-MANHEIMA 1:93
BRATSKA-LUISVILA 1:96
SEIRIJI-UZBEKIJA 10:1
VESTENDE-MUKDENA 10:103
ARTJOMA-FRANCIJA 10:104
MARVELE-DETROITA 10:105
PLATONE-MELNSILS 10:108
SAFOLKA-OZOLAINE 10:110
DAIVANA-PIEVOLGA 10:112
KRIMULDA-POLOCKA 10:113
SEVERNA-BAHREINA 10:114
ORINOKO-ETIOPIJA 10:115
PUIKULE-PLOVDIVA 10:115
HARBINA-BEREZINA 10:116
USTRONE-VIETALVA 10:12
ULBROKA-HIROSIMA 10:121
JITLANDE-SKOTIJA 10:129
USTRONE-IGAUNIJA 10:129
ZAMBEZI-FRANCIJA 10:129
JITLANDE-KAPSUKA 10:13
DEMOINA-KARLAILA 10:13
MAJORKA-ADELAIDA 10:131
JAMAIKA-PLOVDIVA 10:134
MAUNALOA-TURCIJA 10:136
MINHENE-KRIEVIJA 10:14
LOKARNA-MANHEIMA 10:145
VESTENDE-RAVENNA 10:148
MINHENE-NIKOSINA 10:149
MBABANE-TELAVIVA 10:149
UKRAINA-DOMINIKA 10:15
ZAMBEZI-TENESIJA 10:150
GRUZIJA-TENERIFE 10:18
NEAPOLE-MISISIPI 10:19
ANGLIJA-ROZALIMA 10:27
DAIVANA-BRRONKSA 10:37
KAPZEME-JAUNPILS 10:44
INDRAJI-MANHEIMA 10:46
KALTENE-BEREZINA 10:50
KAMBIJA-UZBEKIJA 10:54
SALVANA-NIKOSINA 10:55
SALVANA-LEIPCIGA 10:60
MAKENZI-PLOVDIVA 10:60
ARTJOMA-MELNSILS 10:60
DEMOINA-RUDAMINA 10:62
TEBRIZA-BAIREITA 10:76
AIZVOLGA-PENKULE 10:80
ARKTIKA-KATOVICE 10:89
KALTENE-HIROSIMA 10:9
KATMANDU-LATGALE 10:92
PIEVOLGA-VERSEKA 10:94
GOTLANDE-KAIBALA 10:96
KORSIKA-IGAUNIJA 100:1
DAIVANA-LUISVILA 100:104
HUDZONA-MISISIPI 100:104
ZEMGALE-BRRONKSA 100:106
KAPZEME-ILINOISA 100:107
ZENTENE-KRIEVIJA 100:11
KATMANDU-ABAKANA 100:110
OGLAINE-DOTMUNDA 100:110
PLOVDIVA-METELIS 100:114
VESTENDE-BOSTONA 100:116
MAUNALOA-SERBIJA 100:119
ZAMBIJA-NIKOSINA 100:125
KURZEME-PIEVOLGA 100:128
TOBRUKA-DOMINIKA 100:132
JAMAIKA-ARMAVIRA 100:132
LIVORNA-PIEVOLGA 100:134
SIESIKI-TELAVIVA 100:137
MINDANAO-KAIBALA 100:141
KANTONA-KRIMULDA 100:142
PAKROJA-UDMRTIJA 100:144
INDRAJI-KARLAILA 100:2
MILVOKI-TENESIJA 100:20
VERDENA-BRRONKSA 100:23
JAUNCIEMS-VANAGI 100:26
BERGENA-KARLAILA 100:27
VIDAUJA-BRUKLINA 100:34
ZEMGALE-BAIREITA 100:34
KVEBEKA-TENESIJA 100:35
SIESIKI-BAIREITA 100:37
HERSONA-HIROSIMA 100:37
GARONNA-UZBEKIJA 100:4
HARBINA-KATOVICE 100:43
VERDENA-KRIEVIJA 100:46
RANGUNA-MISISIPI 100:46
KANTONA-UZBEKIJA 100:47
KAMPALA-JAUNPILS 100:48
KAPZEME-KATOVICE 100:49
KAJENNA-DOMINIKA 100:49
BRUNEJA-LEIPCIGA 100:5
ABADANA-SAULAINE 100:50
HARTUMA-BRRONKSA 100:54
MAUNALOA-GRUZIJA 100:55
VIETALVA-TURCIJA 100:55
KALTENE-FRANCIJA 100:60
ABADANA-KATOVICE 100:66
DAIVANA-DOMINIKA 100:67
AMERIKA-DOMINIKA 100:7
ABAKANA-VIETALVA 100:75
INDRAJI-TENERIFE 100:76
SIDNEJA-OZOLAINE 100:79
USTRONE-TENESIJA 100:83
ARIZONA-ADELAIDA 100:85
GARKALNE-KAMBIJA 100:85
DURBANA-JAUNPILS 100:85
SEVERNA-ROZALIMA 100:89
PIEVOLGA-GVINEJA 100:89
SLOCENE-MANHEIMA 100:91
OBELIJA-NIKOSINA 100:94
GULBENE-DOTMUNDA 101:100
METELIS-KARLAILA 101:102
FLORENCE-PUIKULE 101:103
ZENTENE-ETIOPIJA 101:112
EZERNIEKI-DRUSTI 101:118
MILVOKI-IGAUNIJA 101:118
RUMBULA-UZBEKIJA 101:121
KVEBEKA-RUDAMINA 101:121
HAIFONA-KRIEVIJA 101:122
PALERMO-ETIOPIJA 101:123
MINDANAO-BENGAZI 101:124
DOTMUNDA-TAIZEME 101:124
BRUNEJA-ETIOPIJA 101:130
JITLANDE-RANGUNA 101:135
LAZDONA-PLOVDIVA 101:135
VESTENDE-SEVERNA 101:140
LOZANNA-PLOVDIVA 101:141
VIETALVA-PENKULE 101:142
TRAPENE-FLORENCE 101:143
HAVANNA-SAULAINE 101:16
VERSEKA-JAUNPILS 101:16
TERMEZA-AIZVOLGA 101:17
VATERLO-KATOVICE 101:21
TAIVANA-JAKUTIJA 101:23
MINHENE-OZOLAINE 101:24
VESTENDE-KAIBALA 101:27
HUDZONA-UZBEKIJA 101:27
MARVELE-AUSTRIJA 101:30
VIDAUJA-IGAUNIJA 101:31
JAMAIKA-SAULAINE 101:32
LAZDIJI-UZBEKIJA 101:32
OGLAINE-GROZNIJA 101:32
AMAZONE-SALONIKI 101:40
RUMBULA-TENERIFE 101:41
MAUNALOA-SAKSIJA 101:42
MEKSIKA-BEREZINA 101:45
KRIMULDA-RUMBULA 101:46
KAZBEKS-SALONIKI 101:5
DOTMUNDA-PALERMO 101:53
NAHODKA-AUSTRIJA 101:55
MINHENE-IGAUNIJA 101:6
UKRAINA-KATOVICE 101:65
VERSEKA-GROZNIJA 101:66
VESTENDE-PEDEDZE 101:67
SAKSIJA-LUISVILA 101:7
MAJORKA-UDMRTIJA 101:73
PAROGLE-ARMAVIRA 101:77
GOTLANDE-RANGUNA 101:78
PALERMO-IGNALINA 101:8
GOTLANDE-BRISELE 101:81
FLORENCE-NAHODKA 101:81
MEISENE-IGAUNIJA 101:82
FORMOZA-JAKUTIJA 101:85
KAJENNA-BEREZINA 101:86
MAJORKA-KRIEVIJA 101:89
TOBRUKA-KRIEVIJA 101:91
GOTLANDE-GRUZIJA 102:105
AMAZONE-ILINOISA 102:105
BRISELE-UZBEKIJA 102:109
MAJORKA-BRUKLINA 102:111
VESTENDE-BALTIJA 102:112
GARKALNE-ORINOKO 102:114
VESTENDE-ZAMBEZI 102:117
NIAMEJA-ETIOPIJA 102:118
TOTNEMA-VIETALVA 102:118
ZEMGALE-SALONIKI 102:119
PILZENE-GOTLANDE 102:125
LATGALE-MELNSILS 102:130
BOMBEJA-LEIPCIGA 102:133
ORINOKO-DOMINIKA 102:133
USTRONE-DOMINIKA 102:139
SAIGONA-BRAZILJA 102:144
TAIZEME-NIKOSINA 102:144
KORSIKA-TUNISIJA 102:145
KANTONA-KARLAILA 102:145
ABAKANA-TUNISIJA 102:145
CEILONA-TENERIFE 102:145
ALABAMA-ILINOISA 102:145
BRRONKSA-MEKSIKA 102:148
SIESIKI-OZOLAINE 102:23
MINDANAO-INDRAJI 102:23
BOSTONA-KRIMULDA 102:24
PLATONE-DOMINIKA 102:26
MBABANE-MINDANAO 102:29
SKOTIJA-JAUNPILS 102:3
MENORKA-BAHREINA 102:30
BALTIMORA-DRUSTI 102:31
SIDNEJA-KARLAILA 102:33
PILZENE-VESTENDE 102:34
HUDZONA-KATOVICE 102:37
NAHODKA-JAUNPILS 102:39
HARTUMA-NIKOSINA 102:45
POCIEMS-KRIEVIJA 102:49
BOSTONA-BRAZILJA 102:52
BRUNEJA-MELNSILS 102:57
KAJENNA-PLOVDIVA 102:7
ASUNSJONA-VANAGI 102:70
VIETALVA-BOMBEJA 102:73
FLORENCE-BOSTONA 102:8
TALLINA-FRANCIJA 102:81
BRRONKSA-SEIRIJI 102:82
VATERLO-KRIEVIJA 102:84
BOMBEJA-BEREZINA 102:87
PLATONE-ARMAVIRA 102:88
PILZENE-MELNSILS 102:89
KAJENNA-BRUKLINA 102:96
ZAMBEZI-AUSTRIJA 102:99
VIDAUJA-OZOLAINE 102:99
MINDANAO-DURBANA 103:10
MARVELE-TELAVIVA 103:105
VATERLO-MISISIPI 103:109
LAPZEME-KRIEVIJA 103:110
BALTIJA-BAHREINA 103:116
GORKIJA-SAULAINE 103:123
OREGONA-MELNSILS 103:127
ABAKANA-SAULAINE 103:127
ALABAMA-BRUKLINA 103:128
ZAMBEZI-UDMRTIJA 103:142
SAFOLKA-AUSTRIJA 103:142
PUIKULE-BEREZINA 103:149
BRUNEJA-HIROSIMA 103:15
SILMALA-MANHEIMA 103:17
DAIVANA-RUDAMINA 103:2
ZAMBEZI-IGAUNIJA 103:23
SIESIKI-MISISIPI 103:23
NEAPOLE-DETROITA 103:3
KAPSUKA-PLOVDIVA 103:31
RAUDONE-GOTLANDE 103:33
TURCIJA-ADELAIDA 103:34
TERMEZA-ETIOPIJA 103:38
ABADANA-IGNALINA 103:41
KALTENE-VESTENDE 103:47
ZENTENE-BRRONKSA 103:49
KANTONA-UDMRTIJA 103:49
BRUNEJA-KRIEVIJA 103:5
ZENTENE-TELAVIVA 103:52
GOTLANDE-ISIKULS 103:55
LATGALE-ETIOPIJA 103:55
EZERNIEKI-VANAGI 103:63
MEKSIKA-ARMAVIRA 103:65
KATMANDU-DUBLINA 103:73
ARTJOMA-ETIOPIJA 103:77
PASIENA-BRUKLINA 103:8
JITLANDE-ABADANA 103:82
ALABAMA-TELAVIVA 103:86
OGLAINE-IGAUNIJA 103:87
TOMBUKA-GROZNIJA 103:93
PEDEDZE-LEIPCIGA 103:96
USTRONE-UZBEKIJA 103:98
BOSTONA-ARMAVIRA 104:1
ZAMBIJA-BRUKLINA 104:1
KVEBEKA-KATOVICE 104:102
SALIENA-KRIEVIJA 104:103
PAROGLE-TENESIJA 104:106
SAKSIJA-BAIREITA 104:109
KAJENNA-DETROITA 104:110
ABAKANA-BAHREINA 104:116
PLATONE-HIROSIMA 104:116
VERSEKA-KRIEVIJA 104:117
HARTUMA-TENERIFE 104:120
HAIFONA-TELAVIVA 104:126
HARBINA-OZOLAINE 104:129
KUSTANAJA-DRUSTI 104:130
KAMBIJA-TUNISIJA 104:131
SALIENA-OZOLAINE 104:133
KAJENNA-HIROSIMA 104:141
NAHODKA-NIKOSINA 104:141
PLATONE-KRIEVIJA 104:142
SERBIJA-FRANCIJA 104:142
VIDZEME-GARKALNE 104:146
VERSEKA-UZBEKIJA 104:149
PILZENE-IGNALINA 104:2
KALVENE-KATMANDU 104:28
LUCERNA-DETROITA 104:3
MINDANAO-RUMBULA 104:30
TERMEZA-ILINOISA 104:35
KALTENE-UDMRTIJA 104:44
PERLOJA-UZBEKIJA 104:52
BRISELE-IGAUNIJA 104:54
SALIENA-MANHEIMA 104:55
FLORENCE-TAIVANA 104:56
POLOCKA-TUNISIJA 104:62
DOTMUNDA-TOTNEMA 104:65
ISIKULS-DOMINIKA 104:78
PUIKULE-KRIEVIJA 104:82
KALVENE-BRRONKSA 104:83
ROSTOKA-TENESIJA 104:83
MINDANAO-BOSTONA 104:9
MAKENZI-FRANCIJA 104:90
ARTJOMA-VIETALVA 104:93
MAUNALOA-GAMBIJA 104:96
GOTLANDE-SIESIKI 104:96
KALVENE-PIEVOLGA 104:97
ANGLIJA-BAHREINA 104:99
JERSIKA-MANHEIMA 105:0
GOTLANDE-GORKIJA 105:0
TOBRUKA-NIKOSINA 105:10
KARTENA-OZOLAINE 105:10
ANGLIJA-IGNALINA 105:103
PEDEDZE-ARMAVIRA 105:109
TEBRIZA-PIEVOLGA 105:11
SILMALA-JAKUTIJA 105:110
MUKDENA-LEIPCIGA 105:111
SAKSIJA-GROZNIJA 105:115
HUDZONA-UDMRTIJA 105:12
PASVALE-JAKUTIJA 105:124
KRIMULDA-LATVIJA 105:126
KURZEME-HIROSIMA 105:130
DURBANA-TUNISIJA 105:131
KRIMULDA-KAIBALA 105:133
BRRONKSA-AMERIKA 105:134
KATMANDU-KAMPALA 105:136
VERDENA-VIETALVA 105:145
VESTENDE-LOKARNA 105:147
LATGALE-SALONIKI 105:150
GDANSKA-FRANCIJA 105:17
MILVOKI-LUISVILA 105:18
TOMBUKA-BAIREITA 105:19
MEISENE-KARLAILA 105:20
KURZEME-BEREZINA 105:21
MAJORKA-NIKOSINA 105:22
TAIZEME-JAKUTIJA 105:24
SALVANA-BRAZILJA 105:25
NAHODKA-PLOVDIVA 105:27
ORINOKO-KATOVICE 105:29
DAIVANA-JAUNPILS 105:29
KURZEME-PLOVDIVA 105:31
VERSEKA-PLOVDIVA 105:43
VESTENDE-GARONNA 105:44
ALABAMA-PIEVOLGA 105:45
INDRAJI-ETIOPIJA 105:46
PAROGLE-BAIREITA 105:53
TERMEZA-DOMINIKA 105:58
SALIENA-SAULAINE 105:6
NANKINA-SAULAINE 105:60
TOTNEMA-KRIEVIJA 105:62
BOMBEJA-ARMAVIRA 105:66
MAJORKA-UZBEKIJA 105:7
VIETALVA-ISIKULS 105:72
VERSEKA-IGAUNIJA 105:74
MUKDENA-VIETALVA 105:76
BRAZILJA-SIESIKI 105:8
PLATONE-KRIMULDA 105:8
NEAPOLE-BAHREINA 105:82
ISIKULS-KARLAILA 105:83
GULBENE-BRRONKSA 105:85
VALGUNDE-TAIZEME 105:86
OBELIJA-TUNISIJA 105:86
TRIPOLE-FRANCIJA 105:87
OREGONA-MISISIPI 105:9
KALVENE-TUNISIJA 105:9
LUCERNA-FRANCIJA 105:90
KRIMULDA-KAMBIJA 105:91
HARBINA-UDMRTIJA 105:94
KATMANDU-LAZDONA 105:95
SLOCENE-MAUNALOA 105:97
TURCIJA-BAIREITA 105:98
FLORENCE-ZAMBIJA 106:1
ZAMBIJA-IGAUNIJA 106:10
TAIVANA-DETROITA 106:112
TRAPENE-ETIOPIJA 106:112
GARONNA-AIZVOLGA 106:113
DOTMUNDA-SEVERNA 106:117
TRAPENE-AIZVOLGA 106:122
KAMPALA-DETROITA 106:127
ARKTIKA-KRIEVIJA 106:128
KAPSUKA-NIKOSINA 106:128
DEMOINA-GROZNIJA 106:131
PAROGLE-LUISVILA 106:134
BRRONKSA-TURCIJA 106:136
JERSIKA-GROZNIJA 106:138
ARIZONA-TELAVIVA 106:138
GOTLANDE-GAMBIJA 106:139
LATVIJA-OZOLAINE 106:139
GARONNA-TENERIFE 106:142
KAJENNA-MAUNALOA 106:144
KRIMULDA-ROSTOKA 106:145
ABADANA-TELAVIVA 106:16
LONDONA-LUISVILA 106:17
TEBRIZA-UDMRTIJA 106:2
SAKSIJA-SALONIKI 106:22
MEKSIKA-DOMINIKA 106:26
PUIKULE-SAULAINE 106:28
GDANSKA-MELNSILS 106:30
MAKENZI-SALONIKI 106:32
VILGALE-TENESIJA 106:35
JAMAIKA-FRANCIJA 106:37
MINDANAO-SIESIKI 106:39
LAZDONA-KATOVICE 106:44
VERSEKA-ARMAVIRA 106:45
CEILONA-LUISVILA 106:46
EGLAINE-DOMINIKA 106:47
PERLOJA-IGNALINA 106:47
LIVORNA-BRUKLINA 106:48
LAPZEME-AIZVOLGA 106:5
MIRNIJA-SALONIKI 106:50
KAZBEKS-TENESIJA 106:52
PIEVOLGA-PUIKULE 106:6
SLOCENE-BRRONKSA 106:60
VERDENA-LUISVILA 106:61
ROSTOKA-SALONIKI 106:65
DEMOINA-HIROSIMA 106:71
VESTENDE-PALERMO 106:72
POCIEMS-BRRONKSA 106:73
KATMANDU-SEIRIJI 106:82
HARBINA-IGNALINA 106:85
ARIZONA-MISISIPI 106:86
KAZBEKS-HIROSIMA 106:89
MBABANE-BAIREITA 106:93
KARTENA-JAKUTIJA 107:0
KAPSUKA-ETIOPIJA 107:105
PIEVOLGA-LAZDIJI 107:105
INDRAJI-LEIPCIGA 107:111
KAMPALA-BAIREITA 107:12
TAIZEME-TUNISIJA 107:120
KANTONA-AUSTRIJA 107:122
CEILONA-ETIOPIJA 107:125
KALTENE-UZBEKIJA 107:13
PEDEDZE-MISISIPI 107:133
HERSONA-BRUKLINA 107:134
BERGENA-DETROITA 107:135
LIVORNA-LUISVILA 107:144
GDANSKA-ADELAIDA 107:149
JITLANDE-HUDZONA 107:18
VALGUNDE-FORMOZA 107:19
GARONNA-NIKOSINA 107:27
KRIMULDA-ZAMBIJA 107:30
VIDUKLE-ROZALIMA 107:30
MINHENE-ETIOPIJA 107:32
METELIS-LEIPCIGA 107:32
BALTEZERS-VANAGI 107:34
DOTMUNDA-MENORKA 107:41
KAMBIJA-BRUKLINA 107:44
KALVENE-SAULAINE 107:46
GORKIJA-IGAUNIJA 107:47
VIDZEME-TUNISIJA 107:47
TRAPENE-TENESIJA 107:48
VALGUNDE-PAKROJA 107:53
SILMALA-BAHREINA 107:58
VIETALVA-SIDNEJA 107:59
NEAPOLE-UDMRTIJA 107:6
ARTJOMA-ARMAVIRA 107:62
OGLAINE-ADELAIDA 107:62
SIESIKI-ADELAIDA 107:64
SIDNEJA-TENERIFE 107:7
LOZANNA-TENESIJA 107:70
KAZBEKS-NIKOSINA 107:73
VILGALE-SALONIKI 107:77
MINDANAO-HAIFONA 107:78
KAMBIJA-ARMAVIRA 107:82
BRISELE-RUDAMINA 107:83
MAUNALOA-MAJORKA 107:84
SEIRIJI-TELAVIVA 107:89
KAPSUKA-ILINOISA 107:89
GORKIJA-BRUKLINA 107:9
UKRAINA-TENESIJA 107:90
GORKIJA-ROZALIMA 107:99
GULBENE-MAUNALOA 107:99
JERSIKA-IGNALINA 108:10
VESTENDE-PUIKULE 108:102
DURBANA-DOMINIKA 108:105
JITLANDE-LUCERNA 108:107
LIVORNA-BRAZILJA 108:107
ZEMGALE-TENESIJA 108:113
SIDNEJA-TENESIJA 108:115
TRAPENE-ROZALIMA 108:116
KAIBALA-TENERIFE 108:125
SALVANA-TUNISIJA 108:128
TEBRIZA-VIETALVA 108:128
PEDEDZE-AIZVOLGA 108:132
HAVANNA-TENERIFE 108:132
VIDUKLE-IGNALINA 108:133
GRUZIJA-JAUNPILS 108:134
GORKIJA-UDMRTIJA 108:135
PLATONE-KATOVICE 108:136
LAZDONA-IGAUNIJA 108:137
MAKENZI-ETIOPIJA 108:138
BRATSKA-UDMRTIJA 108:143
ARTJOMA-UDMRTIJA 108:145
BOMBEJA-SAULAINE 108:146
MUKDENA-FRANCIJA 108:148
PUIKULE-IGAUNIJA 108:149
GOTLANDE-RAVENNA 108:15
LUCERNA-UDMRTIJA 108:17
FORMOZA-BEREZINA 108:2
DAMASKA-JAUNPILS 108:25
ARIZONA-ETIOPIJA 108:26
AIZVOLGA-SKOTIJA 108:26
ZENTENE-TENESIJA 108:29
SERBIJA-RUDAMINA 108:3
NEAPOLE-LUISVILA 108:3
KORSIKA-PLOVDIVA 108:32
LIVORNA-IGAUNIJA 108:38
NEAPOLE-TUNISIJA 108:39
TRAPENE-VESTENDE 108:4
AMAZONE-JITLANDE 108:40
VERSEKA-ROZALIMA 108:44
GOTLANDE-LIVORNA 108:46
GVINEJA-IGNALINA 108:47
BERGENA-DOMINIKA 108:5
LONDONA-UZBEKIJA 108:50
VALGUNDE-LIVORNA 108:52
PEDEDZE-HIROSIMA 108:53
VALGUNDE-DURBANA 108:54
TAIZEME-BAIREITA 108:57
RANGUNA-KARLAILA 108:58
DAIVANA-ARMAVIRA 108:60
VATERLO-FRANCIJA 108:63
ZENTENE-DETROITA 108:64
DAMASKA-BAIREITA 108:67
LAPZEME-GROZNIJA 108:7
BRAZILJA-DAMASKA 108:71
DAIVANA-PLOVDIVA 108:72
OREGONA-VIETALVA 108:73
ZAMBIJA-TENERIFE 108:75
HAVANNA-TELAVIVA 108:83
KURZEME-ILINOISA 108:84
BOSTONA-BRUKLINA 108:84
ANGLIJA-LEIPCIGA 108:84
EGLAINE-ADELAIDA 108:85
VIETALVA-GORKIJA 108:9
JAMAIKA-MELNSILS 108:94
JITLANDE-VILGALE 109:0
ZAMBIJA-KARLAILA 109:102
VESTENDE-TEBRIZA 109:103
JITLANDE-SIDNEJA 109:111
VIDZEME-ARMAVIRA 109:113
LONDONA-BEREZINA 109:116
VIETALVA-JERSIKA 109:117
VALGUNDE-TALLINA 109:117
JITLANDE-AMERIKA 109:118
SIDNEJA-SALONIKI 109:122
BOMBEJA-MANHEIMA 109:122
SAFOLKA-ROZALIMA 109:130
PIEVOLGA-BRATSKA 109:134
MUKDENA-TENESIJA 109:135
PUIKULE-BRUKLINA 109:137
DOTMUNDA-RUMBULA 109:141
SIDNEJA-MELNSILS 109:145
DAMASKA-BAHREINA 109:146
MUKDENA-JAUNPILS 109:15
SEVILJA-GROZNIJA 109:19
JERSIKA-HIROSIMA 109:20
METELIS-TUNISIJA 109:20
MENORKA-KATOVICE 109:25
TERMEZA-ADELAIDA 109:26
KAPZEME-IGNALINA 109:26
KRIMULDA-SERBIJA 109:27
GARKALNE-AMERIKA 109:28
GARKALNE-MEKSIKA 109:3
VALGUNDE-KAPSUKA 109:3
GDANSKA-DETROITA 109:33
ARIZONA-PLOVDIVA 109:38
VALGUNDE-ZAMBIJA 109:4
VALGUNDE-BOSTONA 109:4
VIETALVA-ZAMBIJA 109:42
ABAKANA-AIZVOLGA 109:43
HAIFONA-BAIREITA 109:46
SAIGONA-HIROSIMA 109:49
HARBINA-TENESIJA 109:49
DOTMUNDA-VILGALE 109:51
GOTLANDE-BOMBEJA 109:54
NUKUALOFA-DRUSTI 109:54
LIVORNA-JAKUTIJA 109:56
KALTENE-MAUNALOA 109:56
DOTMUNDA-JERSIKA 109:59
LOZANNA-UDMRTIJA 109:60
TOMBUKA-DOMINIKA 109:62
BRISELE-ROZALIMA 109:63
VIETALVA-MARVELE 109:65
SALVANA-ARMAVIRA 109:65
LUCERNA-MAUNALOA 109:69
TAIVANA-VIETALVA 109:7
PASVALE-SALONIKI 109:70
VIETALVA-BALTIJA 109:72
MAUNALOA-SILMALA 109:74
PALERMO-TELAVIVA 109:81
SAKSIJA-HIROSIMA 109:87
TURCIJA-RUDAMINA 109:88
ORINOKO-HIROSIMA 109:89
MAJORKA-LUISVILA 109:93
ARTJOMA-JAKUTIJA 109:96
JITLANDE-PALERMO 109:96
ILMENIS-ROZALIMA 11:0
KATMANDU-KAJENNA 11:101
VALGUNDE-NEAPOLE 11:103
GARONNA-RUDAMINA 11:110
LOZANNA-TENERIFE 11:112
SEIRIJI-BEREZINA 11:112
MUKDENA-BRRONKSA 11:114
DAIVANA-SAULAINE 11:118
ROSTOKA-JAUNPILS 11:118
HERSONA-DOMINIKA 11:12
GORKIJA-BAHREINA 11:125
TRIPOLE-OZOLAINE 11:128
LATGALE-HIROSIMA 11:129
ZENTENE-ILINOISA 11:129
MEKSIKA-BAHREINA 11:131
HARTUMA-AIZVOLGA 11:132
USTRONE-VALGUNDE 11:132
KANTONA-TENERIFE 11:134
BENGAZI-BAIREITA 11:135
METELIS-GROZNIJA 11:14
ARIZONA-FRANCIJA 11:142
BERGENA-FRANCIJA 11:143
EGLAINE-MANHEIMA 11:146
VERSEKA-TELAVIVA 11:146
SALIENA-KRIMULDA 11:147
ZAMBEZI-UZBEKIJA 11:18
VIDZEME-OZOLAINE 11:19
RANGUNA-GARKALNE 11:2
ZENTENE-NIKOSINA 11:2
ARKTIKA-TUNISIJA 11:20
