100
SINSITIJA-LIZUMS 0:122
HOLIVUDA-EIFRATA 110:117
LAPLATA-NEBRASKA 110:144
ALAUKSTS-SANHOSE 110:21
ALAUKSTS-MADRASA 110:80
KRAKATAU-KUZBASS 110:88
KUMPOTE-VADAKSTE 110:91
SARANSKA-MADRASA 110:96
BRJANSKA-SANHOSE 111:102
PLIMUTA-ATABASKA 111:118
VAGADUGU-DONBASS 111:134
ANGARSKA-TEKSASA 111:142
PRIPETE-SOVETSKA 111:7
TRIESTE-KRAKATAU 111:99
HOLIVUDA-UTREHTA 112:107
ANGARSKA-ENGELSA 112:116
PRIPETE-LUGANSKA 112:124
SOVETSKA-BEBRUSI 112:23
VALLETA-ANGARSKA 112:25
NEBRASKA-MANAUSA 112:62
HOLIVUDA-DONBASS 112:9
SALANTA-SOVETSKA 113:27
BRJANSKA-MEMFISA 113:44
TRIESTE-ATABASKA 113:52
BEIRUTA-KIROVSKA 113:6
AIZPUTE-VADAKSTE 113:60
TORONTO-BELFASTA 113:63
SENTLUISA-NUKUSU 113:88
KAHOVSKA-SASEKSA 113:96
BEIRUTA-KAHOVSKA 114:15
KRAKATAU-ELBRUSS 114:28
SARANSKA-MEMFISA 114:31
KUZBASS-IRKUTSKA 114:47
PLIMUTA-NEBRASKA 114:47
SALANTA-ANGARSKA 114:50
KIROVSKA-TBILISI 114:91
TORONTO-KRAKATAU 115:107
VAGADUGU-ENGELSA 115:141
KAHOVSKA-ENGELSA 115:17
EVERESTS-SASEKSA 115:31
KAUNATA-ANGARSKA 115:61
VORKUTA-BELFASTA 115:92
PEIPUSS-SARANSKA 116:103
KIROVSKA-SANHOSE 116:119
KAHOVSKA-KUTAISI 116:127
BRJANSKA-MADRASA 116:133
ALAUKSTS-TEKSASA 116:135
ERFURTE-BRJANSKA 116:5
ELBRUSS-ANGARSKA 116:85
NUKUSU-HAMILTONA 117:110
JAKUTSKA-TAUNUSA 117:12
LAPLATA-VADAKSTE 117:133
ALATAU-VALENSIJA 117:134
IRKUTSKA-TEKSASA 117:139
KRAKATAU-MADRASA 117:148
KUZBASS-SOVETSKA 117:76
PRIPETE-BRJANSKA 117:78
BELFASTA-DONBASS 118:140
ARARATS-KRAKATAU 118:141
UTREHTA-LUGANSKA 118:20
PRIPETE-EVERESTS 118:23
KRAKATAU-MANAUSA 118:30
KRAKATAU-PEIPUSS 118:54
UTREHTA-KAVARSKA 119:120
ALAUKSTS-TAUNUSA 119:13
TARENTO-JAKUTSKA 119:143
FEODOSIJA-VEZUVS 119:150
ALATAU-HAMILTONA 119:48
LAPLATA-ATABASKA 119:72
TARENTO-IRKUTSKA 119:77
ATABASKA-KINROSA 119:81
SALANTA-BELFASTA 22:105
KIROVSKA-ENGELSA 12:107
DONBASS-ATABASKA 12:108
LUCAVSALA-ALTAJS 12:109
UTREHTA-ATABASKA 12:120
HOLIVUDA-KARPATI 12:132
LUCAVSALA-VEZUVS 12:139
KRAKATAU-MACESTA 12:52
KIROVSKA-BEBRUSI 12:62
AIZPUTE-EVERESTS 12:64
KAHOVSKA-MANAUSA 12:74
TARENTO-BRJANSKA 120:103
ALAUKSTS-DONBASS 120:31
UTREHTA-JAKUTSKA 120:55
TORONTO-SOVETSKA 121:112
SOMERSETA-VEZUVS 121:126
KRAKATAU-TBILISI 121:150
HOLIVUDA-KANZASA 121:3
TORONTO-KAVARSKA 121:31
TOLJATI-SARANSKA 121:6
VAGADUGU-LAPLATA 122:127
KAUNATA-KAVARSKA 122:17
VALLETA-KAVARSKA 122:24
PEIPUSS-KAVARSKA 122:56
AIZPUTE-LUGANSKA 123:104
KINGSTONA-LIZUMS 123:106
VALENSIJA-VENERS 123:127
KUVEITA-VADAKSTE 123:128
ARARATS-NEBRASKA 123:13
NEBRASKA-TEKSASA 123:140
BEIRUTA-ATABASKA 123:146
KARPATI-ATABASKA 123:2
ALAUKSTS-MEMFISA 123:29
VAGADUGU-ERFURTE 123:3
PRIPETE-NEBRASKA 123:73
ARARATS-JAKUTSKA 124:100
TARENTO-KAVARSKA 124:132
BEIRUTA-IRKUTSKA 124:147
SALANTA-ATABASKA 124:149
HOLIVUDA-TEKSASA 124:37
KALKUTA-ALAUKSTS 124:86
HOLIVUDA-KUTAISI 124:87
KRAKATAU-SALANTA 124:9
KAVARSKA-TEKSASA 125:100
VALLETA-SARANSKA 125:102
EIFRATA-SARANSKA 125:139
VADAKSTE-SASEKSA 125:143
LUGANSKA-KINROSA 125:47
TORONTO-LUGANSKA 125:58
EIFRATA-LUGANSKA 125:88
KALKUTA-KAVARSKA 126:106
PRIPETE-ANGARSKA 126:110
ANGARSKA-KANZASA 126:124
ELBRUSS-SARANSKA 126:42
KUMPOTE-LUGANSKA 126:84
KUVEITA-NEBRASKA 127:129
PEIPUSS-BRJANSKA 127:17
PLIMUTA-EVERESTS 127:42
VAGADUGU-BIZERTA 127:63
AIZPUTE-ATABASKA 127:86
BRJANSKA-KINROSA 128:111
KARPATI-SARANSKA 128:111
KAVARSKA-KUTAISI 128:12
MENHETENA-VEZUVS 128:14
KALKUTA-SARANSKA 128:40
KINGSTONA-ALTAJS 128:59
TARENTO-KRAKATAU 128:79
ANGARSKA-BEBRUSI 128:89
ATLANTA-BRJANSKA 128:91
EVERESTS-ENGELSA 129:107
SOVETSKA-SASEKSA 129:27
ALATAU-SOMERSETA 129:45
ANGARSKA-MEMFISA 129:80
SENTLUISA-TUKUMS 13:101
HOLIVUDA-ATLANTA 13:103
ARARATS-EVERESTS 13:30
AIZPUTE-KIROVSKA 13:42
ERFURTE-BELFASTA 13:44
KAHOVSKA-SANHOSE 130:105
KAUNATA-BELFASTA 130:126
ALAUKSTS-PEIPUSS 130:13
TORONTO-JAKUTSKA 130:68
HOLIVUDA-KUMPOTE 131:110
NEBRASKA-SANHOSE 131:113
TRIESTE-IRKUTSKA 131:127
BRJANSKA-ENGELSA 131:133
EIFRATA-KAHOVSKA 131:137
ALAUKSTS-KUTAISI 131:138
NUKUSU-FOLKSTONA 131:142
HOLIVUDA-AIZPUTE 131:27
TRIESTE-BRJANSKA 131:78
KRAKATAU-EIFRATA 131:84
LAPLATA-KIROVSKA 131:87
BEIRUTA-ALAUKSTS 131:96
BRJANSKA-KANZASA 132:114
DUBULTI-ATABASKA 132:133
HOLIVUDA-TRIESTE 132:49
PLIMUTA-BELFASTA 132:56
ATABASKA-MANAUSA 132:93
NEBRASKA-KINROSA 133:122
ERFURTE-SARANSKA 133:34
HOLIVUDA-BEBRUSI 133:58
IRKUTSKA-SANHOSE 134:12
JAKUTSKA-MEMFISA 134:126
TOLJATI-KAVARSKA 134:132
KARPATI-ANGARSKA 134:17
EVERESTS-MADRASA 134:2
TARENTO-ANGARSKA 134:32
VORKUTA-NEBRASKA 134:6
ATABASKA-KANZASA 134:70
BELFASTA-MEMFISA 135:133
VAGADUGU-TEKSASA 135:24
TOLJATI-KRAKATAU 135:25
NUKUSU-LUCAVSALA 135:29
VALENSIJA-VEZUVS 135:5
VAGADUGU-TORONTO 135:51
LUGANSKA-KANZASA 135:81
KIROVSKA-MADRASA 136:104
KUVEITA-JAKUTSKA 136:119
VAGADUGU-DORSETA 136:139
BELFASTA-MANAUSA 136:45
FEODOSIJA-VENERS 136:56
IRKUTSKA-ENGELSA 136:81
VADAKSTE-TAUNUSA 136:84
KRAKATAU-ATLANTA 136:94
KAHOVSKA-TBILISI 136:97
ALAUKSTS-KUZBASS 137:100
IRKUTSKA-BEBRUSI 137:133
VAGADUGU-TBILISI 137:134
HOLIVUDA-TARENTO 137:144
PEIPUSS-KAHOVSKA 137:15
KAVARSKA-SASEKSA 137:33
ERFURTE-ATABASKA 137:47
VORKUTA-EVERESTS 137:63
BELOSTOKA-TUKUMS 138:141
TOLJATI-IRKUTSKA 138:3
PRIPETE-JAKUTSKA 138:38
KAUNATA-SOVETSKA 138:46
LUGANSKA-SANHOSE 138:48
VAINUTA-IRKUTSKA 138:6
KARPATI-BRJANSKA 138:79
KUVEITA-SOVETSKA 139:103
MORICSALA-VEZUVS 139:128
ELBRUSS-KAVARSKA 139:67
BRJANSKA-KUTAISI 139:68
SARANSKA-BEBRUSI 14:11
VALLETA-EVERESTS 14:122
BRJANSKA-TEKSASA 14:146
SOVETSKA-SANHOSE 14:16
KAHOVSKA-TEKSASA 14:2
HOLIVUDA-MEMFISA 14:36
ALAUKSTS-KANZASA 14:49
PEIPUSS-ATABASKA 14:49
ELBRUSS-KAHOVSKA 14:5
LAPLATA-IRKUTSKA 14:7
TRIESTE-VADAKSTE 14:83
EIFRATA-NEBRASKA 140:106
ALATAU-KULAUTUVA 140:142
VORKUTA-ANGARSKA 140:28
ANGARSKA-KUTAISI 140:52
MAPUTU-SINSITIJA 140:54
KALKUTA-ANGARSKA 140:85
ATABASKA-MADRASA 141:143
KALKUTA-KAHOVSKA 141:147
SINSITIJA-VEZUVS 141:15
PLIMUTA-ALAUKSTS 141:19
DUBULTI-SOVETSKA 141:20
LUGANSKA-TEKSASA 141:98
KUZBASS-BRJANSKA 142:18
KAHOVSKA-MADRASA 142:72
HOLIVUDA-BEIRUTA 142:76
PEIPUSS-ANGARSKA 142:82
SENTLUISA-VENERS 142:91
VADAKSTE-BEBRUSI 143:113
IRKUTSKA-SASEKSA 143:39
NUKUSU-FEODOSIJA 143:41
TORONTO-ATABASKA 143:54
MAPUTU-HAMILTONA 143:66
LUGANSKA-ENGELSA 143:9
LUGANSKA-TBILISI 144:133
KAUNATA-NEBRASKA 144:29
DUBULTI-BRJANSKA 144:56
HOLIVUDA-ENGELSA 144:69
BEIRUTA-BRJANSKA 144:7
DORSETA-BRJANSKA 144:90
ANGARSKA-SASEKSA 145:101
VAGADUGU-ATLANTA 145:113
LAPLATA-SARANSKA 145:59
KARPATI-KAHOVSKA 145:89
ATABASKA-MEMFISA 145:99
DUBULTI-KAHOVSKA 146:1
VAINUTA-EVERESTS 146:101
KUMPOTE-KRAKATAU 146:113
LAPLATA-ALAUKSTS 146:114
MACESTA-NEBRASKA 146:127
TOLJATI-LUGANSKA 146:138
DORSETA-NEBRASKA 146:15
BEIRUTA-VADAKSTE 146:9
KARPATI-ALAUKSTS 147:121
MAPUTU-BELOSTOKA 147:32
SOMERSETA-ALTAJS 147:37
SALANTA-KAVARSKA 147:37
KARPATI-LUGANSKA 147:50
DORSETA-KAHOVSKA 147:82
SOVETSKA-TAUNUSA 147:85
MAPUTU-KULAUTUVA 148:18
HOLIVUDA-TAUNUSA 148:46
KRAKATAU-VALLETA 148:72
ELBRUSS-IRKUTSKA 148:73
IRKUTSKA-KUTAISI 148:79
KAUNATA-VADAKSTE 148:99
SARANSKA-TBILISI 149:108
EIFRATA-KAVARSKA 149:123
SALANTA-IRKUTSKA 149:96
BELFASTA-MADRASA 15:105
KUZBASS-ATABASKA 150:11
ANGARSKA-SANHOSE 150:134
VADAKSTE-KUZBASS 150:146
ATABASKA-SANHOSE 150:18
VALLETA-ALAUKSTS 150:28
BIZERTA-BRJANSKA 150:50
DORSETA-IRKUTSKA 150:8
KINGSTONA-VENERS 150:8
ATLANTA-SARANSKA 150:94
SALANTA-KIROVSKA 16:100
ALATAU-KINGSTONA 16:112
KRAKATAU-MEMFISA 16:125
ARARATS-ANGARSKA 16:14
ATLANTA-VADAKSTE 16:22
PLIMUTA-KAHOVSKA 16:90
HOLIVUDA-TORONTO 17:112
BIZERTA-SOVETSKA 17:133
KUMPOTE-ANGARSKA 17:141
DONBASS-NEBRASKA 17:26
NEBRASKA-ENGELSA 17:72
KULAUTUVA-LIZUMS 17:72
AIZPUTE-KAVARSKA 17:85
ALAUKSTS-MANAUSA 17:93
KRAKATAU-BIZERTA 18:102
KUZBASS-ANGARSKA 18:130
ATLANTA-KAHOVSKA 18:133
VADAKSTE-ENGELSA 18:149
DONBASS-KAHOVSKA 18:2
KALKUTA-ATABASKA 18:50
KAVARSKA-MADRASA 18:60
VAGADUGU-EIFRATA 18:69
EIFRATA-ATABASKA 18:76
BRJANSKA-BEBRUSI 18:81
SENTLUISA-LIZUMS 18:92
VAINUTA-BRJANSKA 19:139
KULAUTUVA-VENERS 19:48
DUBULTI-BELFASTA 19:83
BELFASTA-KUZBASS 2:125
BEIRUTA-LUGANSKA 2:15
KAVARSKA-MEMFISA 2:45
KALKUTA-LUGANSKA 2:90
SALANTA-JAKUTSKA 20:19
VALLETA-JAKUTSKA 20:35
VADAKSTE-TEKSASA 20:48
JAKUTSKA-ENGELSA 20:55
ELBRUSS-JAKUTSKA 20:76
KIROVSKA-MEMFISA 20:91
ERFURTE-NEBRASKA 21:107
JAKUTSKA-TEKSASA 21:133
JAKUTSKA-TBILISI 21:42
ERFURTE-VADAKSTE 21:78
VORKUTA-VADAKSTE 21:85
SARANSKA-SANHOSE 21:90
MACESTA-KAHOVSKA 22:113
DONBASS-BRJANSKA 22:144
DUBULTI-IRKUTSKA 22:148
EVERESTS-PEIPUSS 22:31
FOLKSTONA-LIZUMS 22:39
VAGADUGU-BEIRUTA 22:89
VAGADUGU-PEIPUSS 23:112
ALATAU-FOLKSTONA 23:149
VAINUTA-BELFASTA 23:18
VAGADUGU-SASEKSA 23:20
VAGADUGU-MANAUSA 23:24
DONBASS-LUGANSKA 23:38
ARARATS-BELFASTA 23:40
ATLANTA-ANGARSKA 23:43
MORICSALA-TUKUMS 23:45
KUZBASS-KAVARSKA 23:71
HAMILTONA-VEZUVS 23:72
TARENTO-KAHOVSKA 23:79
TRIESTE-ANGARSKA 23:88
ALAUKSTS-ELBRUSS 24:2
ERFURTE-KAHOVSKA 24:26
KUVEITA-KAVARSKA 24:41
ANGARSKA-MANAUSA 24:58
ATABASKA-BEBRUSI 24:8
TOLJATI-NEBRASKA 25:13
KRAKATAU-LAPLATA 25:149
MACESTA-EVERESTS 25:32
MACESTA-IRKUTSKA 25:54
TRIESTE-SOVETSKA 25:55
TRIESTE-KAVARSKA 25:75
FEODOSIJA-TUKUMS 25:85
NEBRASKA-SASEKSA 26:0
EVERESTS-SANHOSE 26:110
NUKUSU-MANHATANA 26:122
VAGADUGU-MEMFISA 26:131
HOLIVUDA-KALKUTA 26:147
ARARATS-IRKUTSKA 26:47
VAGADUGU-TRIESTE 26:47
KUZBASS-KAHOVSKA 26:58
JAKUTSKA-KANZASA 26:67
VADAKSTE-MEMFISA 27:107
KARPATI-JAKUTSKA 27:134
ALATAU-FEODOSIJA 27:35
KALKUTA-KIROVSKA 27:74
TRIESTE-KAHOVSKA 27:85
BIZERTA-KAHOVSKA 28:122
TRIESTE-LUGANSKA 28:137
BEIRUTA-KAVARSKA 28:2
KIROVSKA-SASEKSA 28:40
BIZERTA-SARANSKA 28:64
VAINUTA-VADAKSTE 29:101
UTREHTA-EVERESTS 29:119
TORONTO-ANGARSKA 29:133
KRAKATAU-DORSETA 29:135
LAPLATA-EVERESTS 29:66
TOLJATI-ATABASKA 29:73
AIZPUTE-SOVETSKA 3:0
BEIRUTA-BELFASTA 3:105
TARENTO-EVERESTS 3:112
KARPATI-VADAKSTE 3:114
MACESTA-BELFASTA 3:133
VAGADUGU-KAUNATA 3:84
TORONTO-SARANSKA 3:94
EVERESTS-DONBASS 30:122
AIZPUTE-ALAUKSTS 30:138
BIZERTA-ANGARSKA 31:120
PEIPUSS-JAKUTSKA 31:149
VAGADUGU-TAUNUSA 31:55
DONBASS-JAKUTSKA 32:100
VALLETA-NEBRASKA 32:121
KUMPOTE-JAKUTSKA 32:130
IRKUTSKA-MEMFISA 32:136
ELBRUSS-ATABASKA 32:67
MAPUTU-LUCAVSALA 32:77
SALANTA-BRJANSKA 33:101
BELFASTA-ELBRUSS 33:104
DORSETA-ATABASKA 33:107
VAGADUGU-DUBULTI 33:119
TOLJATI-KAHOVSKA 33:148
BELFASTA-ENGELSA 33:66
VAGADUGU-PLIMUTA 33:66
FOLKSTONA-TUKUMS 33:79
MENHETENA-TUKUMS 34:29
VADAKSTE-KANZASA 34:45
KARPATI-KAVARSKA 34:58
AIZPUTE-BELFASTA 34:85
AIZPUTE-JAKUTSKA 34:99
BIZERTA-ALAUKSTS 35:136
KAHOVSKA-KANZASA 35:32
ELBRUSS-BRJANSKA 35:39
KRAKATAU-ENGELSA 35:6
PRIPETE-KRAKATAU 36:108
SOMERSETA-LIZUMS 36:80
TORONTO-KIROVSKA 36:92
KIROVSKA-TEKSASA 37:118
VAINUTA-ALAUKSTS 37:32
SOVETSKA-MANAUSA 37:36
BIZERTA-KIROVSKA 37:41
HOLIVUDA-VALLETA 38:137
SARANSKA-MANAUSA 38:53
BELFASTA-TEKSASA 38:56
IRKUTSKA-KINROSA 38:59
DORSETA-SARANSKA 38:74
ELBRUSS-SOVETSKA 38:96
TOLJATI-EVERESTS 39:104
UTREHTA-KIROVSKA 39:13
KAHOVSKA-KINROSA 39:134
ARARATS-KIROVSKA 39:149
KUVEITA-ATABASKA 39:21
NUKUSU-MORICSALA 39:22
EVERESTS-BEBRUSI 39:26
PLIMUTA-SARANSKA 39:47
IRKUTSKA-TBILISI 39:50
SARANSKA-KUTAISI 39:55
DUBULTI-KAVARSKA 39:79
HOLIVUDA-TOLJATI 4:112
AIZPUTE-SARANSKA 4:117
MAPUTU-VALENSIJA 4:117
VAGADUGU-TOLJATI 4:22
FEODOSIJA-ALTAJS 4:44
KARPATI-BELFASTA 4:59
NUKUSU-SOMERSETA 4:87
BRJANSKA-TAUNUSA 40:1
VORKUTA-ATABASKA 40:117
ALAUKSTS-BEBRUSI 40:127
DONBASS-KIROVSKA 40:133
TARENTO-SARANSKA 40:136
BELOSTOKA-ALTAJS 40:14
HOLIVUDA-KAUNATA 40:53
MACESTA-BRJANSKA 40:64
NEBRASKA-MEMFISA 40:65
NEBRASKA-TAUNUSA 40:77
BIZERTA-EVERESTS 41:136
VALLETA-VADAKSTE 41:142
ATLANTA-NEBRASKA 41:147
BIZERTA-IRKUTSKA 41:147
KINGSTONA-VEZUVS 41:28
TORONTO-ALAUKSTS 41:32
ALATAU-LUCAVSALA 41:57
LAPLATA-SOVETSKA 41:7
EIFRATA-JAKUTSKA 41:72
BRJANSKA-MANAUSA 41:77
ERFURTE-SOVETSKA 42:128
KRAKATAU-BEBRUSI 43:124
MANHATANA-ALTAJS 43:144
LUCAVSALA-LIZUMS 43:34
SALANTA-SARANSKA 43:77
HOLIVUDA-VORKUTA 44:108
KAUNATA-BRJANSKA 44:119
DORSETA-KAVARSKA 44:22
MORICSALA-VENERS 44:95
VORKUTA-BRJANSKA 45:101
MANHATANA-VENERS 45:144
UTREHTA-BRJANSKA 45:21
AIZPUTE-KAHOVSKA 45:35
HOLIVUDA-SASEKSA 45:38
VORKUTA-KAHOVSKA 45:6
BELFASTA-TAUNUSA 45:84
KAVARSKA-TAUNUSA 46:104
FOLKSTONA-VEZUVS 46:23
DUBULTI-NEBRASKA 46:26
BEIRUTA-SARANSKA 46:35
VAINUTA-KIROVSKA 46:63
EVERESTS-ELBRUSS 47:106
KUZBASS-KIROVSKA 47:11
PLIMUTA-IRKUTSKA 47:141
VAGADUGU-MADRASA 47:57
LUGANSKA-MADRASA 47:95
EIFRATA-KIROVSKA 47:95
EVERESTS-MANAUSA 48:114
VAINUTA-ANGARSKA 48:123
PEIPUSS-NEBRASKA 48:2
KRAKATAU-KINROSA 48:46
KRAKATAU-UTREHTA 48:99
KIROVSKA-KUTAISI 49:101
SALANTA-EVERESTS 49:145
KAUNATA-LUGANSKA 49:150
VALLETA-KAHOVSKA 49:55
VALLETA-ATABASKA 49:84
VAINUTA-SARANSKA 5:116
TOLJATI-JAKUTSKA 5:149
VADAKSTE-KINROSA 5:22
MAPUTU-FOLKSTONA 5:38
VAGADUGU-ARARATS 5:99
SINSITIJA-VENERS 50:18
BELOSTOKA-LIZUMS 50:28
ARARATS-SARANSKA 50:51
VAGADUGU-TARENTO 51:111
ARARATS-ALAUKSTS 51:3
ATLANTA-SOVETSKA 51:49
BIZERTA-ATABASKA 51:50
KAVARSKA-ENGELSA 51:62
HOLIVUDA-ERFURTE 51:78
NUKUSU-MENHETENA 52:1
TORONTO-NEBRASKA 52:116
ERFURTE-EVERESTS 52:118
KAVARSKA-KANZASA 52:126
VALLETA-SOVETSKA 52:132
UTREHTA-SOVETSKA 52:132
ATLANTA-KIROVSKA 52:141
ARARATS-VADAKSTE 52:147
NEBRASKA-BEBRUSI 52:28
VADAKSTE-KUTAISI 52:45
KARPATI-KIROVSKA 52:48
SOVETSKA-MADRASA 53:102
BIZERTA-NEBRASKA 53:146
UTREHTA-SARANSKA 53:31
HOLIVUDA-KUVEITA 53:70
UTREHTA-IRKUTSKA 54:106
KAUNATA-ATABASKA 54:117
VORKUTA-KAVARSKA 54:32
HOLIVUDA-DUBULTI 54:38
ELBRUSS-LUGANSKA 54:44
IRKUTSKA-KANZASA 54:60
VADAKSTE-MADRASA 54:69
SALANTA-VADAKSTE 54:70
LAPLATA-ANGARSKA 54:90
EIFRATA-ANGARSKA 55:118
KAHOVSKA-MEMFISA 55:34
UTREHTA-BELFASTA 55:44
DUBULTI-EVERESTS 56:109
MORICSALA-LIZUMS 56:135
DONBASS-ANGARSKA 56:147
ATLANTA-LUGANSKA 56:44
KRAKATAU-PLIMUTA 57:106
SARANSKA-KINROSA 57:113
ATABASKA-ENGELSA 57:127
VALLETA-BELFASTA 57:19
UTREHTA-ANGARSKA 57:99
KUVEITA-BELFASTA 58:124
TOLJATI-ALAUKSTS 58:134
TARENTO-ATABASKA 58:143
VAGADUGU-ELBRUSS 58:148
KUMPOTE-NEBRASKA 58:32
LAPLATA-LUGANSKA 58:42
KUMPOTE-KAVARSKA 58:55
VAGADUGU-KANZASA 58:61
KRAKATAU-SANHOSE 58:80
TORONTO-BRJANSKA 58:95
HOLIVUDA-PRIPETE 59:127
KINGSTONA-TUKUMS 59:141
DONBASS-SARANSKA 59:142
LAPLATA-BELFASTA 59:3
MANHATANA-VEZUVS 59:52
LUGANSKA-TAUNUSA 59:70
UTREHTA-VADAKSTE 59:81
VORKUTA-KIROVSKA 6:10
JAKUTSKA-MADRASA 6:137
LAPLATA-KAVARSKA 6:23
ARARATS-BRJANSKA 6:40
ERFURTE-LUGANSKA 60:13
HOLIVUDA-TBILISI 60:130
KUMPOTE-SOVETSKA 60:140
BELFASTA-PEIPUSS 60:141
ERFURTE-KAVARSKA 60:34
ERFURTE-KRAKATAU 60:57
HAMILTONA-ALTAJS 60:69
KUMPOTE-SARANSKA 60:8
VAGADUGU-KUMPOTE 60:93
ATABASKA-TEKSASA 61:136
HAMILTONA-LIZUMS 61:136
SOVETSKA-TEKSASA 61:145
MANHATANA-TUKUMS 61:148
LUCAVSALA-TUKUMS 61:19
KRAKATAU-KALKUTA 61:20
EVERESTS-MEMFISA 61:34
MAPUTU-MANHATANA 61:43
IRKUTSKA-TAUNUSA 61:50
DUBULTI-JAKUTSKA 61:60
LUCAVSALA-VENERS 61:62
DORSETA-EVERESTS 61:98
KAVARSKA-BEBRUSI 62:138
TARENTO-ALAUKSTS 62:16
ATABASKA-SASEKSA 62:24
ARARATS-KAVARSKA 62:45
KALKUTA-SOVETSKA 62:49
LUGANSKA-KUTAISI 62:53
AIZPUTE-IRKUTSKA 62:54
ALAUKSTS-SASEKSA 63:67
KAUNATA-IRKUTSKA 64:106
ATLANTA-ALAUKSTS 64:150
PEIPUSS-KIROVSKA 64:53
PLIMUTA-SOVETSKA 64:9
BIZERTA-LUGANSKA 65:107
VAINUTA-ATABASKA 65:42
SARANSKA-SASEKSA 65:47
DUBULTI-SARANSKA 65:55
BRJANSKA-SASEKSA 65:57
ANGARSKA-MADRASA 65:90
KAUNATA-KIROVSKA 66:122
VALLETA-KIROVSKA 66:52
KUMPOTE-KAHOVSKA 66:60
VALENSIJA-TUKUMS 66:76
KUZBASS-JAKUTSKA 67:21
KUVEITA-ANGARSKA 67:6
SENTLUISA-MAPUTU 67:77
MAPUTU-MENHETENA 67:97
DORSETA-LUGANSKA 68:116
VADAKSTE-DONBASS 68:12
KALKUTA-JAKUTSKA 68:129
TORONTO-VADAKSTE 68:133
PLIMUTA-VADAKSTE 68:136
VORKUTA-JAKUTSKA 68:18
NEBRASKA-MADRASA 68:25
SENTLUISA-ALTAJS 68:35
DONBASS-KAVARSKA 68:39
ATABASKA-TBILISI 68:48
EIFRATA-ALAUKSTS 68:58
SENTLUISA-VEZUVS 69:117
HOLIVUDA-SANHOSE 69:147
MACESTA-LUGANSKA 69:20
VAGADUGU-VAINUTA 69:87
ERFURTE-ALAUKSTS 7:12
ERFURTE-JAKUTSKA 7:139
AIZPUTE-ANGARSKA 7:147
KARPATI-IRKUTSKA 7:16
HOLIVUDA-ARARATS 7:27
PRIPETE-BELFASTA 7:47
BELFASTA-SASEKSA 70:104
VAGADUGU-UTREHTA 70:108
BELOSTOKA-VENERS 70:109
SOMERSETA-VENERS 70:113
